,Easting(m),Northing(m),Elevation(m)
0,490093.0938,3753330.5,519.1948
1,490026.9375,3753435.5,526.1815
2,489983.2813,3753518.25,531.8779
3,489941.25,3753705.5,540.2667
4,489937.8437,3753892.75,545.2053
5,489933.1563,3754093.25,546.7839
6,489893.875,3754261.25,548.0
7,489823.4687,3754453.75,548.0
8,489745.4375,3754605.25,552.8466
9,489657.4375,3754760.5,562.8213
10,489597.6875,3754889.25,582.636
11,489500.5312,3755035.5,602.8383
12,489396.9375,3755122.75,604.3618
13,489315.9375,3755174.25,604.715
14,489170.1562,3755301.5,606.0291
15,489035.6562,3755428.25,603.9705
16,488888.4375,3755568.0,601.2646
17,488799.0,3755663.5,603.1576
18,488617.9375,3755800.0,603.3923
19,488448.8438,3755876.75,607.5187
20,488250.8203,3755962.9844,616.9408
21,488091.3047,3756104.4844,617.1863
22,488054.4063,3756239.0,626.7693
23,488032.3047,3756421.7344,643.4633
24,487964.6875,3756606.25,651.1063
25,487858.1094,3756692.7188,655.5056
26,487694.375,3756828.8594,654.3944
27,487627.6953,3756900.5937,654.108
28,487473.1172,3756978.2187,650.2116
29,487313.1641,3757122.9687,651.5732
30,487143.6562,3757248.9063,663.3013
31,486932.625,3757397.3906,673.9653
32,486757.3672,3757482.0625,672.368
33,486603.6875,3757581.875,665.3814
34,486418.3828,3757713.2187,669.529
35,486258.8906,3757851.4531,683.3797
36,486121.8594,3757983.6406,706.5085
37,485956.8281,3758035.25,690.1164
38,485725.3594,3758098.5469,673.3465
39,485527.3438,3758207.7969,669.2703
40,485361.0469,3758356.4062,668.149
41,485240.0313,3758458.75,667.871
42,485052.8125,3758576.6875,668.519
43,484907.75,3758697.25,663.3126
44,484736.6563,3758814.5469,663.5828
45,484600.7969,3758925.9219,667.0084
46,484471.0781,3759094.6719,663.2377
47,484317.7266,3759316.6719,665.4543
48,484146.5469,3759450.9063,680.2987
49,483973.1406,3759595.75,705.7223
50,483836.2344,3759699.9219,726.9065
51,483655.2422,3759827.7813,721.335
52,483551.8437,3759856.75,726.5864
53,483416.3438,3760081.0,711.6963
54,483365.5625,3760140.25,700.1663
55,483236.0937,3760266.0,686.7882
56,483161.4062,3760338.25,686.5766
57,483055.3125,3760411.4375,675.1378
