,Easting(m),Northing(m),Elevation(m)
0,617678.6875,3641326.25,29.8868
1,617125.125,3641681.0,48.2486
2,616653.125,3641905.25,60.7634
3,616285.5,3642125.75,66.0376
4,615902.25,3642380.25,71.2498
5,615340.25,3642726.75,66.7313
6,614637.0625,3643201.0,77.7523
7,614216.6875,3643418.25,77.111
8,613936.0,3643562.0,73.8116
9,613420.375,3643808.25,66.8531
10,612690.7344,3644046.75,65.1681
11,612388.125,3644200.25,59.5627
12,612086.8125,3644407.75,61.9255
13,610226.5,3645399.5,93.8607
14,608733.25,3646201.0,102.9546
15,608007.0625,3646606.75,112.633
16,607124.0,3647132.75,110.0303
17,606403.25,3647625.25,97.8985
18,605822.3125,3648003.25,97.3912
19,605415.6875,3648266.75,58.1521
20,605107.0625,3648518.25,38.4622
21,604595.25,3648879.5,29.9962
22,602037.5625,3649934.0,19.8977
23,599532.375,3650832.5,13.7685
24,599232.8125,3650984.25,12.072
25,598714.25,3651325.75,10.6162
26,598432.25,3651453.5,8.4318
27,597712.4375,3651915.25,19.151
28,597126.75,3652319.75,10.5553
