,Easting(m),Northing(m),Elevation(m)
0,607979.8437,3703657.4375,50.0
1,606818.3906,3704869.6875,50.0
2,605656.9219,3706081.9687,50.0
3,604495.4687,3707294.2187,50.0
4,603405.75,3708362.1875,75.0
5,602316.0469,3709430.125,100.0
6,601634.4062,3710365.6875,67.0
7,600952.75,3711301.25,34.0
8,600769.0625,3712266.2812,100.0
9,599857.3438,3713308.0,89.0
10,598945.625,3714349.75,78.0
11,598237.8125,3715724.75,182.0
12,597247.25,3716711.5,183.0
13,596204.0313,3718244.125,228.5
14,595160.8125,3719776.75,274.0
15,594269.3438,3720877.3438,187.0
16,593377.875,3721977.9375,100.0
