,Easting(m),Northing(m),Elevation(m)
0,445957.2969,3799159.375,1264.75
1,444381.2734,3800227.8594,1235.5625
2,441523.0625,3801937.4531,1206.3125
3,437815.9766,3803525.1875,1177.0625
4,434429.8672,3805228.1094,1147.8462
5,431065.9063,3806968.5313,1118.6154
6,427674.0859,3808636.0,1089.375
7,423800.8125,3810292.1563,1060.75
8,420889.1719,3811948.3125,1031.4375
9,417470.0,3813497.625,1001.6875
10,414160.9844,3815343.5937,972.4375
11,410848.6641,3817053.1875,943.1875
12,407215.7891,3818869.625,914.5625
13,404063.7422,3820525.7812,935.0625
14,400564.4297,3822315.5,956.125
15,397114.8359,3824016.5781,977.2308
16,393381.8125,3825799.6563,998.3125
17,390256.4766,3827402.375,1019.375
18,386783.8828,3829005.125,1040.4375
19,383337.9922,3830634.5625,1061.5625
20,379785.2656,3832210.5937,1082.625
21,376339.375,3833866.75,1103.6875
22,372920.2031,3835603.0625,1124.8125
23,369501.0313,3837125.6563,1145.8125
24,366001.7188,3838728.3906,1166.9375
25,362437.1094,3840233.5156,1188.0
