,Easting(m),Northing(m),Elevation(m)
0,239816.4063,3910474.4375,695.0
1,237115.9687,3913929.8438,673.4375
2,235286.625,3916543.1562,651.875
3,232557.1562,3919853.375,630.3125
4,230089.0,3923076.5,608.75
5,227737.0,3926415.75,587.1875
6,225635.7188,3929739.7813,565.625
7,223295.5,3932854.3125,544.0625
8,220955.25,3935968.875,522.5
9,218617.9375,3938924.1562,500.9375
10,216062.6563,3942031.0938,479.375
11,213536.4375,3945225.1875,457.8125
12,211097.3438,3948361.1875,436.25
13,208919.5625,3951468.125,414.6875
14,206451.4063,3954313.75,393.125
15,203838.0938,3957362.6562,371.5625
16,201832.0313,3960529.5938,350.0
