,Easting(m),Northing(m),Elevation(m)
0,557653.2461,3744340.2344,87.9064
1,559417.2031,3743454.0,63.0882
2,560330.25,3742784.1563,41.0361
3,562725.3125,3741503.4063,57.445
4,564263.3281,3740726.1875,32.1746
5,565458.3125,3740173.4063,16.9957
6,566883.0078,3739284.2813,-0.2582
7,568999.3438,3737546.9531,-11.6542
8,571169.7813,3735871.4375,-13.1442
9,573855.7813,3733746.625,-31.6622
10,575974.9766,3731559.9375,-33.0275
11,577177.0078,3730439.1719,-36.6143
12,578781.6172,3728756.8438,-52.4482
13,579643.4063,3727519.6875,-55.2687
14,581650.9531,3725133.4375,-46.9123
15,583713.6563,3722860.6875,-33.844
16,585374.5938,3721178.25,-27.2343
17,586806.6641,3719719.9688,-24.3675
18,588238.7344,3718261.6875,-21.5007
19,589670.8047,3716803.4375,-18.6338
20,591190.4844,3715372.1875,-31.1324
21,592710.1563,3713940.9375,-43.6309
22,593902.0781,3712929.3125,-57.7239
23,595093.9922,3711917.7188,-71.8168
24,596285.9063,3710906.125,-85.9098
25,597477.8281,3709894.5,-100.0027
26,599545.2344,3707870.8125,-93.3228
27,601612.6484,3705847.1563,-86.6429
28,602652.0,3704706.9688,-83.6137
29,603691.3594,3703566.7813,-80.5846
30,604730.7109,3702426.5938,-77.5554
31,605827.4609,3701230.1875,-74.8352
32,607378.2344,3699234.25,-74.4176
33,608929.0078,3697238.3125,-74.0
34,610278.0781,3695692.0313,-74.0334
35,611627.1406,3694145.75,-74.0669
36,613173.25,3692855.6875,-74.0563
37,614719.3516,3691565.625,-74.0457
38,617460.4453,3690284.1875,-74.4374
39,619396.4375,3690128.375,-74.4857
