,Easting(m),Northing(m),Elevation(m)
0,570710.3438,3737763.7187,111.0
1,570584.0625,3737881.0,111.0
2,569967.4375,3738559.5,152.0
3,569369.7187,3739097.3281,179.9849
4,568664.375,3739712.5,127.0
5,567919.3125,3740257.5,155.0
6,567294.625,3740878.25,142.0
7,566751.875,3741406.25,144.0
8,566009.4375,3742138.75,183.0
9,565521.6875,3742609.25,176.0
10,564489.4375,3743584.25,183.0
11,564067.625,3744070.5,183.0
12,563609.625,3744545.0,184.0
13,563230.0625,3744942.0,230.0
14,562758.75,3745350.75,247.0
15,561419.5781,3746247.0312,296.0
16,559631.2813,3747379.625,352.0
17,557395.9219,3748840.0469,285.0
18,555667.25,3750121.6562,402.0
19,553641.2187,3751433.1719,365.0
20,551998.1875,3752724.7812,304.0
21,549789.6875,3754458.5469,303.0
22,547404.2812,3756439.3906,304.0
23,544990.4219,3758655.8281,358.0
24,543411.0938,3760026.5313,407.0
25,541474.6875,3761456.8125,486.0
