,Easting(m),Northing(m),Elevation(m)
0,620025.7344,3689787.3125,-74.0
1,617614.2969,3692614.4375,-43.0
2,616148.5,3694329.0,-30.0
3,613311.6094,3696605.125,-30.0
4,609322.25,3699978.9063,-9.25
5,601300.9688,3707459.0937,49.5
6,595040.875,3714402.3438,89.25
7,590214.8437,3719167.1875,129.0
8,586307.8437,3722699.875,95.5
9,583323.3281,3725773.2813,62.0
10,580808.3125,3728371.4219,45.125
11,577232.2344,3731719.1406,28.25
12,575272.9687,3733759.2031,45.625
13,572550.1562,3736066.375,60.75
14,570679.5937,3737687.5781,75.625
