,Easting(m),Northing(m),Elevation(m)
0,362432.9844,3840236.5469,1164.0
1,358341.6875,3841693.2812,1169.5
2,354651.7344,3842990.8438,1175.0
3,351042.8906,3844369.5,1180.5
4,347596.2344,3845707.6094,1186.0
5,344109.0313,3847005.1719,1191.375
6,340216.3438,3848383.8437,1197.0
7,336850.7812,3849519.2031,1202.5
8,333039.1875,3850816.7656,1208.0
9,329389.7969,3852114.3281,1213.5
10,326186.4375,3853736.2812,1220.25
11,322845.6094,3854575.375,1302.625
12,318871.8281,3854737.5781,1387.9375
13,315465.7187,3855508.0,1468.3125
14,311937.9688,3856805.5625,1553.5
15,308713.7812,3857837.3281,1638.125
16,305915.9063,3858567.2187,1720.75
17,301475.9844,3859261.3438,1804.375
18,297481.75,3859945.875,1888.0
19,294359.4844,3861283.9844,1729.5625
20,290847.2969,3863008.5156,1571.1875
21,287157.3437,3864589.9219,1413.6875
22,283548.5,3866536.2656,1254.375
23,280246.6875,3868776.75,1096.0
24,277418.7344,3870973.375,1048.6875
25,274807.7344,3873472.4844,1001.3125
26,272196.7188,3875859.6875,954.0
27,269511.1094,3878172.2969,906.6875
28,267198.5,3880074.6094,859.3125
29,264251.7969,3883058.625,812.0
30,261864.5781,3885557.7188,764.6875
31,259328.1719,3888317.9375,717.3125
32,256813.5469,3890781.75,670.0
33,254290.1406,3893197.9688,674.3125
34,251679.1406,3896107.375,678.5625
35,249254.625,3898830.3125,682.875
36,246718.2188,3901888.9062,687.125
37,244554.8125,3904649.125,691.4375
38,242130.3125,3907521.2188,695.75
39,239817.6875,3910467.9375,700.0
