,Easting(m),Northing(m),Elevation(m)
0,570710.3438,3737763.7187,111.0
1,569898.0625,3738239.2031,73.0
2,569026.3438,3738734.5,66.0
3,568102.2344,3739237.6875,83.0
4,567190.875,3739729.1562,65.0
5,566574.9375,3740062.2812,67.0
6,565971.75,3740383.6719,60.0
7,565241.3594,3740955.8438,77.0
8,564378.8125,3741645.7656,183.0
9,564066.25,3741756.0,117.0
10,563521.5625,3742107.5,190.0
11,563219.0,3742301.5,116.0
12,562774.0625,3742508.5,136.0
13,562282.5625,3742786.75,120.0
14,561702.5625,3743107.0,118.0
15,560856.1875,3743448.5,122.0
16,559699.8125,3743952.75,117.0
17,559031.4375,3744238.5,117.0
18,557829.25,3744838.5,161.0
19,557033.8125,3745600.5,164.0
20,556607.7969,3745979.1406,183.0
21,555157.3125,3747020.25,284.0
22,553574.7656,3748020.7031,378.0
23,552138.2812,3748657.125,403.0
24,550506.6875,3749304.4062,265.75
25,548292.1563,3750268.3906,243.75
26,546617.0938,3751069.2969,230.0
27,545016.7969,3751833.0781,224.0
28,543761.7344,3752396.9219,243.0
29,541979.4375,3753106.1875,258.0
30,540069.6719,3753924.6094,295.0
31,538923.8594,3754397.4531,315.0
32,537550.6406,3754844.9844,362.0
33,536004.125,3755354.3594,465.0
34,534093.2344,3755845.7031,591.0
35,532821.1406,3756027.375,537.0
36,530110.75,3756355.0625,687.0
37,528402.1875,3756507.5,596.0
38,527018.25,3756477.5,668.0
39,525802.8125,3756573.0625,643.0
40,524148.625,3756536.625,713.0
41,522712.2422,3756464.25,772.0
42,520494.6172,3756445.9844,795.0
43,518749.6719,3756573.3438,788.0
44,517877.1641,3756718.75,791.0
45,516713.9219,3757427.6719,822.0
46,515633.6094,3758616.5313,890.0
47,514688.4844,3759671.3594,979.0
48,513870.5781,3760852.8125,1093.0
49,512798.3906,3762070.75,1166.0
50,511871.4375,3763052.1719,1341.0
51,510308.5,3764469.8281,1383.0
52,508909.3906,3765742.0,1580.0
53,507401.0312,3766432.5938,1617.0
54,505902.4375,3767010.7187,1528.0
55,504435.2422,3767689.5625,1440.0
56,502183.8516,3768630.6719,1209.0
