,Easting(m),Northing(m),Elevation(m)
0,526616.9375,3767227.25,1221.0
1,526173.5156,3767426.5156,1226.625
2,525475.5625,3768035.0,1280.0
3,525092.2266,3768368.125,1328.875
4,524225.75,3768716.75,1402.0
5,523548.0313,3768897.0,1463.0
6,522939.7188,3769266.75,1524.0
7,522296.4063,3769397.9063,1591.5
8,521459.3125,3769337.0938,1699.375
9,520756.2344,3769482.2969,1810.375
10,518770.9375,3769502.1719,2141.875
11,518033.0469,3769703.7188,2389.625
12,517064.7031,3769919.3125,2394.5
13,515909.9063,3770179.2656,2463.28
14,514689.1875,3770452.0625,2598.6602
15,513572.0,3770527.0,2366.3738
16,512610.125,3770543.5,2184.5679
17,511648.7188,3770599.5,2070.0205
18,511004.625,3770759.5,1969.4249
19,509815.875,3771118.75,1831.2181
20,508809.1562,3771383.75,1767.4208
21,507327.4375,3771703.75,1639.0751
22,505668.8125,3772113.0,1549.9214
23,504363.0625,3772392.0,1407.9424
24,502896.3125,3772724.25,1326.8007
25,501699.5547,3772997.1719,1239.625
26,500537.3984,3773356.75,1205.9218
27,499892.9063,3773677.0,1232.1056
28,499219.7187,3773909.75,1197.9496
29,498063.0937,3774306.75,1226.7166
30,496970.1875,3774663.75,1181.7814
31,495778.1328,3774991.0156,994.0
32,495095.1562,3775042.25,910.6874
33,494038.5312,3775118.75,869.3326
34,492921.8672,3775233.5469,766.75
35,492144.8906,3775552.2188,780.7682
36,491577.2031,3775759.5625,848.0
37,490693.2578,3776213.0781,901.75
38,489605.3906,3776487.6562,798.585
39,488709.3828,3776686.6719,728.2181
40,488042.3125,3776871.75,673.7611
41,487352.5937,3777117.5,693.3812
42,486826.9453,3777258.2344,681.2813
43,486117.4687,3777328.75,733.3719
44,485641.3125,3777429.7656,678.375
45,484861.9687,3777540.2656,684.5
46,484037.6875,3777792.75,685.467
47,483080.4063,3778154.5,589.2445
48,481945.5937,3778428.0,621.2582
49,481063.9063,3778577.25,613.005
50,480058.125,3778907.125,591.125
51,479610.9687,3779102.75,567.2556
52,479032.625,3779398.0,517.533
53,478382.8437,3779721.25,498.5953
54,477856.9375,3779979.5,509.399
55,476834.6406,3780404.8281,497.9742
56,476166.9062,3780736.5,468.916
57,475497.9687,3781352.0,481.366
58,474642.5,3781782.75,533.0519
59,474323.125,3781938.0,540.9245
60,473661.4062,3782312.0,524.7122
61,472789.6289,3782761.2031,553.0
62,472161.25,3782969.0,581.3228
63,471655.8516,3783163.1406,571.1185
64,471327.7812,3783295.25,581.149
65,470731.5937,3783498.75,566.2769
