,Easting(m),Northing(m),Elevation(m)
0,541474.6875,3761456.8125,486.0
1,539705.1953,3762462.3906,547.0
2,537514.3828,3763429.0469,662.0
3,535447.0156,3764160.0,801.0
4,533004.375,3764807.2344,911.0
5,530561.5156,3765809.4844,977.0
6,528435.6328,3766677.1406,1106.0
7,526513.1562,3767124.25,1209.0
8,524240.0469,3767395.0,1256.0
9,522342.6953,3767501.6406,1425.0
10,520739.3203,3767364.3906,1602.0
11,519502.4141,3767226.8906,1732.0
12,518402.9141,3767043.6406,1832.0
13,517349.2578,3767043.6406,2006.0
14,516387.2266,3767135.1406,2157.0
15,515009.7812,3767063.25,2011.0
16,514034.4531,3766933.4688,1911.0
17,513272.0703,3766448.1406,1708.0
18,512636.6563,3766072.6563,1708.0
19,511760.2891,3765715.1406,1693.0
20,510775.3516,3765715.1406,1579.0
21,509715.8438,3765692.5625,1527.0
22,509030.3516,3765861.125,1580.0
23,507652.125,3766450.9375,1668.0
24,506324.8906,3766980.0937,1551.0
25,505414.4141,3767488.1875,1541.0
26,504393.0703,3767999.625,1503.0
27,503053.7578,3768488.0312,1415.0
28,501589.9922,3769079.0781,1211.0
29,500084.3047,3769602.5625,1156.0
30,498611.0,3770335.25,1040.0
31,495305.8203,3771802.6875,846.0
32,493977.3437,3772275.7969,891.0
33,493082.8437,3772643.4844,875.0
