,Easting(m),Northing(m),Elevation(m)
0,502263.625,3768305.75,1219.9556
1,501444.5312,3768575.0156,1145.5321
2,500694.3438,3768823.25,1094.7776
3,499479.8828,3769087.4531,1029.7141
4,499043.4687,3769482.0313,1016.1761
5,498051.3203,3770231.4687,991.2305
6,497455.6328,3770636.0938,949.5059
7,496874.4687,3770842.0781,948.0951
8,496201.4063,3771201.0,898.8534
9,495613.2109,3771507.9062,840.7158
10,494741.6875,3771769.75,864.9742
11,493838.6484,3772023.4375,863.598
12,493000.3437,3772324.25,842.5469
13,492116.3281,3772788.1875,730.2195
14,491409.4062,3773018.0,741.966
15,490226.6563,3773506.75,566.9611
16,489276.6406,3773759.3594,585.8149
17,488755.3125,3773937.0156,564.04
18,488371.8438,3774103.75,550.201
19,487683.8125,3774609.25,516.1892
20,487002.5,3774997.75,472.9784
21,485855.9375,3775453.5,536.8528
22,485216.5625,3775723.75,510.8693
23,485004.6719,3775903.9844,502.3758
24,484503.3438,3776157.5,494.5186
25,483559.0,3776573.25,509.1135
26,482692.6406,3777009.1094,463.3358
27,481660.8906,3777558.1406,463.9589
28,480955.8281,3777970.7031,503.7579
29,480058.7266,3778333.9062,472.2234
30,478552.4375,3779061.5,473.8896
31,477637.0625,3779458.25,448.7629
32,476757.0859,3780007.7813,437.6875
33,476144.2344,3780334.5156,418.2164
34,475355.6406,3780770.9844,430.093
35,474541.0937,3781295.0,445.1248
36,473707.4609,3781739.8281,436.8876
37,472764.4922,3782337.5625,468.1498
38,472022.8125,3782734.0,532.0204
39,470944.75,3783323.25,551.3306
40,469804.4063,3784049.0,591.8711
41,468567.0,3784841.25,657.5035
42,467544.875,3785368.6875,697.2436
43,466222.6875,3786082.6094,667.9496
44,465139.6562,3786755.75,730.0
45,464526.5313,3787181.0,692.0
46,463824.1602,3787772.3906,744.8844
47,463119.5234,3788339.5469,743.8099
48,462705.3125,3788525.0,821.0
49,461984.8125,3789101.5,964.0
50,460919.125,3789687.5,958.0
51,460346.3437,3790110.25,927.0
52,459398.4844,3790742.0937,948.625
53,458451.6875,3791468.5,877.0
54,457586.0938,3792036.25,828.0
55,457027.9375,3792497.25,846.0
56,456536.4063,3792829.0,890.0
57,455772.5898,3793242.75,918.0
58,455235.0273,3793551.9375,935.5
59,454695.1289,3793922.125,980.125
60,454167.7461,3794272.0,1077.2229
61,453602.5312,3794701.125,1097.75
62,452070.7031,3795645.375,1162.25
63,451037.1797,3796245.2188,1239.5
64,450123.3125,3796748.75,1309.0
65,449409.4063,3797093.0,1384.0
66,448840.625,3797446.9219,1432.875
67,448577.2891,3797698.8281,1454.25
68,447691.875,3798121.75,1505.0
69,447057.1875,3798465.75,1563.0
70,446472.5,3798830.25,1617.0
71,445833.5391,3799245.625,1691.25
