,Easting(m),Northing(m),Elevation(m)
0,498984.4844,3769191.375,992.1177
1,498781.5469,3769075.0313,973.7136
2,498508.25,3768842.3281,937.3083
3,497949.7344,3768200.1875,907.5042
4,497160.8437,3767598.8594,872.8361
5,496236.3125,3766917.9844,801.6933
6,495448.0391,3766500.8125,772.7484
7,494615.8047,3766090.0781,728.8593
8,493525.1875,3765691.5469,706.1672
9,493029.9531,3765224.1719,674.4926
10,492564.8906,3764539.9063,655.6736
11,492190.3594,3764145.4844,656.8486
12,491325.8438,3763774.875,617.3347
13,490496.3203,3763261.3906,592.6337
14,489514.7344,3762808.2344,582.0638
