,Easting(m),Northing(m),Elevation(m)
0,490568.7422,3765482.5625,631.0689
1,490567.125,3764890.9219,628.1436
2,490588.7813,3764462.7813,636.8305
3,490511.25,3764230.0938,615.6578
4,490373.0156,3763903.6406,613.6271
5,490075.6406,3763751.5937,633.6971
6,489592.9531,3763650.0,643.3804
7,489351.6406,3763486.7344,616.708
8,488959.6953,3763332.9688,613.1607
9,488627.2578,3763213.7969,616.7913
10,488335.5156,3763220.8437,645.6669
11,487961.2812,3763282.0938,600.7927
12,487584.9219,3763157.8125,623.9914
13,487303.0781,3763155.6875,654.524
14,486948.0703,3763048.2188,614.0976
15,486653.4297,3762944.5469,585.1572
16,486377.4609,3762980.9688,552.0381
17,486099.125,3762894.6875,562.0547
18,485921.5156,3762649.875,524.4626
19,485609.5391,3762386.1875,487.6446
20,485342.0156,3762348.3125,483.4584
21,484859.9531,3762376.5937,476.2018
22,484457.1875,3762572.6875,449.5024
23,484011.1094,3762901.1562,443.6971
24,483455.375,3763249.0781,439.3802
25,483066.3281,3763463.7344,442.2426
26,482537.8281,3763761.7969,443.7672
27,482158.3906,3763987.1875,458.395
28,481739.6406,3764278.1563,450.0371
29,481349.1562,3764588.4531,406.0681
30,480842.5391,3764770.0156,431.2769
31,480248.4922,3764926.6094,488.7692
32,479310.6094,3765168.5312,495.2507
33,478458.0547,3765401.8906,488.4467
34,478192.8359,3765550.2187,470.9654
35,477823.2813,3765862.2344,419.8302
