,Easting(m),Northing(m),Elevation(m)
0,486949.0547,3766905.4063,542.5233
1,486807.5859,3766897.875,538.6621
2,486470.1406,3767075.7188,520.4281
3,486121.2031,3767105.7969,514.6481
4,485734.9453,3767088.8594,500.3203
5,485486.7109,3767244.4687,477.2167
6,485269.25,3767239.5937,471.6511
7,485148.9297,3767047.6406,489.3445
8,484843.0547,3766813.2656,476.638
9,484450.2422,3766562.6875,486.8935
10,484252.7031,3766376.8437,483.4474
11,483974.2578,3766192.0781,484.662
12,483717.0625,3765846.5781,483.3363
13,483474.875,3765697.2188,480.0892
14,483196.4688,3765495.6406,474.6647
15,482780.3516,3765385.4062,470.0949
16,482343.6875,3765413.8594,471.5228
