,Easting(m),Northing(m),Elevation(m)
0,484214.5,3765153.2031,528.3447
1,484421.4063,3765175.875,531.7542
2,484591.3437,3765247.2969,529.9697
3,485052.9531,3765203.7031,539.356
4,485403.1797,3765418.9063,538.5183
5,485714.1172,3765582.75,547.9703
6,485876.1562,3765584.3437,549.3171
7,486212.0938,3765732.5781,554.2067
8,486700.4219,3765910.8281,524.3101
9,487101.7578,3766066.5156,547.8273
10,487331.0625,3766194.5625,572.9691
11,487600.6172,3766290.8281,592.3326
12,487794.0078,3766414.6875,593.9435
13,488170.4609,3766637.4375,596.5721
14,488625.9219,3766885.7656,591.0259
15,488869.6797,3767057.0625,592.1939
16,489158.8125,3767409.4844,593.8138
17,489412.1953,3767763.875,576.7014
18,489473.3438,3768042.8906,573.7469
19,489470.6875,3768401.5625,565.8669
20,489584.5781,3768621.9688,559.6163
21,489832.4062,3768841.7031,562.7965
22,490118.9453,3769201.7344,559.937
23,490418.4844,3769578.1094,586.5239
24,490676.5312,3769902.3437,609.0054
25,490874.2969,3770172.2187,617.6831
26,491035.0312,3770638.6094,611.176
27,491104.1094,3771078.125,622.9958
28,491037.5938,3771580.6719,628.6516
29,490845.625,3771978.1719,619.8275
30,490777.2344,3772128.8125,610.1846
31,490768.7266,3772365.25,618.7432
32,490654.1406,3772588.25,614.1125
33,490442.1953,3772787.2812,598.6547
