,Easting(m),Northing(m),Elevation(m)
0,529995.375,3756362.0,687.0
1,529891.75,3756368.0,673.0
2,529719.5,3756377.25,673.0
3,529510.375,3756368.75,658.0
4,529203.25,3756373.75,617.0
5,529007.625,3756360.25,617.0
6,528844.1875,3756322.25,578.0
7,528541.4375,3756266.75,568.0
8,528415.75,3756249.75,573.0
9,528311.3125,3756227.75,573.0
10,528111.5,3756197.0,598.0
11,528028.1875,3756070.75,630.0
12,527744.8125,3755942.0,593.0
13,527651.1875,3756057.25,662.0
14,527580.75,3756150.25,651.0
15,527390.875,3756347.25,701.0
16,527305.25,3756229.75,633.0
17,527186.9375,3756106.0,633.0
18,526832.5625,3756038.0,573.0
19,526694.0,3756021.25,573.0
20,526529.625,3756083.0,602.0
21,526383.4375,3756043.75,609.0
22,526251.0625,3756073.75,609.0
23,526029.375,3756226.25,605.0
24,525870.125,3756066.75,610.0
25,525793.75,3755978.5,599.0
26,525730.125,3755864.25,617.0
27,525739.5625,3755734.25,619.0
28,525778.9375,3755613.75,589.0
29,525758.3125,3755496.0,619.0
30,525671.125,3755348.75,580.0
31,525563.1875,3755174.25,541.0
32,525329.0,3755017.0,551.0
33,525230.5,3754921.5,529.0
34,525087.5,3754934.75,558.0
35,524962.625,3754920.5,528.0
36,524775.75,3754961.0,548.0
37,524613.25,3754976.75,548.0
38,524413.0,3754910.0,534.0
39,524305.9375,3754841.25,537.0
40,524156.9063,3754643.0,522.0
41,524064.0313,3754571.0,535.0
42,523926.4687,3754502.0,535.0
43,523836.5,3754336.5,525.0
44,523756.3125,3754254.5,525.0
45,523531.4375,3754145.25,537.0
46,523419.4063,3754144.0,543.0
47,523249.0,3754167.5,543.0
48,522960.3125,3754222.25,544.0
49,522816.6875,3754302.5,544.0
50,522727.75,3754380.0,556.0
51,522570.8125,3754577.5,556.0
52,522492.9687,3754668.75,591.0
53,522293.3125,3754878.0,591.0
54,522107.5,3754778.5,591.0
55,521913.9063,3754600.75,582.0
56,521812.8125,3754514.25,594.0
57,521719.9375,3754474.5,594.0
58,521587.375,3754484.75,599.0
59,521404.4375,3754574.75,599.0
60,521285.1875,3754595.25,599.0
61,521152.3125,3754660.5,624.0
62,521006.6875,3754809.0,610.0
63,520909.875,3754915.75,610.0
64,520729.8125,3755057.75,645.0
65,520628.875,3755146.0,639.0
66,520441.875,3755303.25,653.0
67,520310.4062,3755448.25,653.0
68,520190.8125,3755588.0,677.0
69,520063.4062,3755706.75,677.0
70,519894.625,3755628.75,695.0
71,519688.875,3755342.0,685.0
72,519562.8437,3755324.75,685.0
73,519308.4375,3755322.25,698.0
74,519137.875,3755310.75,703.0
75,518965.125,3755309.0,704.0
76,518784.0,3755211.0,712.0
77,518629.5312,3755055.0,693.0
78,518532.9062,3754977.5,695.0
79,518425.9375,3754851.75,676.0
80,518425.375,3754721.75,676.0
81,518361.6875,3754624.5,661.0
82,518264.25,3754589.0,661.0
83,518091.5938,3754592.25,660.0
84,517914.8125,3754445.75,660.0
85,517815.75,3754325.75,640.0
86,517710.7187,3754247.25,640.0
87,517574.6875,3754199.0,632.0
88,517441.9375,3754107.0,628.0
89,517298.4687,3754076.0,613.0
90,517194.0625,3754258.25,626.0
91,517077.5625,3754279.25,626.0
92,516832.0937,3754375.25,636.0
93,516707.3125,3754374.75,638.0
94,516565.125,3754403.75,638.0
95,516454.1875,3754523.0,639.0
96,516410.3437,3754642.25,648.0
97,516327.3438,3754711.75,648.0
98,516003.2031,3755127.1406,667.2968
99,515742.4766,3755461.2656,682.8181
100,515545.375,3755713.9062,694.4678
101,515286.9375,3756045.0,710.0
102,515182.875,3756112.75,710.0
103,515087.2187,3756166.5,705.0
104,514935.3125,3756277.5,705.0
105,514696.375,3756453.0,718.0
106,514461.7188,3756594.75,730.0
107,514268.7188,3756627.5,739.0
108,514079.875,3756624.5,754.0
109,513823.875,3756575.25,767.0
110,513587.4375,3756560.25,740.0
111,513311.5938,3756646.5,785.0
112,512972.0625,3756686.75,790.0
113,512819.25,3756610.5,824.0
114,512743.4688,3756402.75,805.0
115,512656.8125,3756308.75,805.0
116,512591.625,3756153.0,786.0
117,512418.25,3756020.5,791.0
118,512289.2813,3755927.0,781.0
119,512100.5938,3755827.75,786.0
120,511998.375,3755776.75,786.0
121,511904.625,3755731.5,775.0
122,511674.3437,3755659.5,786.0
123,511550.6563,3755626.25,788.0
124,511450.3437,3755566.25,788.0
125,511351.6875,3755474.0,812.0
126,511222.2187,3755311.5,783.0
127,511037.125,3755219.25,789.0
128,510921.5312,3755200.75,790.0
129,510781.5938,3755209.75,790.0
130,510503.9063,3755208.0,811.0
131,510244.6563,3755209.0,823.0
132,510072.75,3755238.0,823.0
133,509926.0,3755231.25,842.0
134,509826.8437,3755208.75,842.0
135,509717.7187,3755187.75,843.0
136,509593.5938,3755128.25,810.0
137,509502.0625,3755061.75,832.0
138,509437.6563,3754961.25,832.0
139,509387.8125,3754804.25,792.0
140,509267.5625,3754739.75,795.0
141,509103.4063,3754742.5,805.0
142,508929.2812,3754735.25,805.0
143,508696.5938,3754710.25,808.0
144,508565.9062,3754713.25,818.0
145,508439.7812,3754695.5,818.0
146,508267.6563,3754745.0,817.0
147,508076.5625,3754913.25,838.0
148,507781.5625,3755266.25,846.0
149,507704.4687,3755394.0,830.0
150,507582.9062,3755684.75,844.0
151,507444.5312,3755950.5,843.0
152,507261.2813,3756182.5,844.0
153,507171.0,3756330.5,861.0
154,507097.3437,3756557.25,861.0
155,507040.6875,3756736.5,873.0
156,506944.5937,3756951.75,898.0
157,506797.0,3757017.0,884.0
158,506587.6875,3757034.5,884.0
159,506437.5625,3757010.0,872.0
160,506354.4688,3757082.75,872.0
161,506150.5313,3757216.25,878.0
162,506096.9219,3757666.9844,713.7303
