,Easting(m),Northing(m),Elevation(m)
0,694851.625,3559188.25,13.0
1,687703.375,3565396.75,16.0
2,680418.125,3571066.0,11.0
3,673092.8125,3576747.5,12.0
4,665825.6875,3582992.0,18.0
5,663464.1875,3584805.75,22.0
6,661067.3125,3586642.5,39.0
7,655847.125,3590372.0,31.0
8,654937.6875,3591155.25,30.0
9,653433.5,3592552.25,28.0
10,652533.0,3593402.5,28.0
11,651573.8125,3594311.75,28.0
12,650585.0,3595249.25,29.0
13,649597.3125,3596183.5,29.0
14,648639.625,3597082.5,29.0
15,647742.3125,3597915.5,28.0
16,646935.0,3598650.75,27.0
17,646247.125,3599257.0,26.0
18,645709.0,3599702.5,24.0
19,645009.5,3600195.0,24.0
20,644411.5,3600664.0,25.0
21,643593.375,3601331.25,25.0
22,642593.1875,3602164.75,23.0
23,641448.625,3603132.25,20.0
24,640197.5,3604201.5,9.0
25,638877.125,3605340.75,6.0
26,637525.1875,3606518.0,-2.0
27,636179.3125,3607700.5,-3.0
28,634877.5,3608856.75,-5.0
29,633656.875,3609954.25,-7.0
30,632554.875,3610960.5,-9.0
31,631609.375,3611843.75,-11.0
32,630857.6875,3612571.75,-12.0
33,630085.3125,3613432.5,-13.0
