,Easting(m),Northing(m),Elevation(m)
0,618153.75,3690833.0,-68.0
1,607965.75,3674779.5,-75.0
2,607586.8125,3673883.75,-63.0
3,607328.5,3673350.0,-58.0
4,607070.125,3672816.0,-45.0
5,606829.0,3672230.25,-38.0
6,606450.0625,3671748.0,-31.0
7,605933.3125,3671162.5,-23.0
8,605657.75,3670955.75,-19.0
9,605175.4375,3670301.25,-17.0
10,604762.0625,3669715.5,-16.0
11,604348.6875,3669130.0,-18.0
12,604124.75,3668372.0,-22.0
13,603900.875,3667614.25,-27.0
14,603315.25,3667097.5,-23.0
15,603108.5625,3666477.5,-27.0
16,602402.375,3666081.5,-24.0
17,601696.1875,3665685.25,-21.0
18,601432.0,3665483.25,-22.0
19,600751.625,3665058.0,-20.0
20,600119.875,3664499.25,-21.0
21,599621.75,3664183.25,-21.0
22,598856.3125,3663758.0,-20.0
23,598054.4375,3663478.5,-17.0
24,597568.4375,3663174.75,-17.0
25,597070.3125,3662798.25,-17.0
26,596575.4375,3662610.75,-15.0
27,596138.0625,3662452.75,-14.0
28,595773.5625,3662294.75,-12.0
29,595494.125,3662173.25,-11.0
30,594911.0,3661906.0,-8.0
31,594534.375,3661736.0,-5.0
32,593878.25,3661480.75,-1.0
33,593185.75,3661177.0,-12.0
34,592687.625,3660934.25,-9.0
35,592396.0625,3660752.0,-7.0
36,591825.0,3660849.0,-5.0
37,591472.6875,3660885.5,-3.0
38,590865.25,3661225.75,-2.0
39,590427.8125,3661420.0,-2.0
40,590209.125,3661517.25,1.0
41,589992.625,3661506.25,1.0
42,589419.5,3661714.5,1.0
43,588950.5625,3662131.5,1.0
44,588394.75,3662565.75,2.0
45,587693.125,3662676.75,5.0
