,Easting(m),Northing(m),Elevation(m)
0,666307.5156,3601565.2187,20.9375
1,664735.7656,3603476.7813,19.625
2,663164.0156,3605388.3437,18.3125
3,661592.2656,3607299.9063,17.0
4,660020.5156,3609211.4687,15.6875
5,658417.6875,3611080.25,14.3125
6,657386.7813,3612312.5,13.6563
7,656539.3437,3613299.9375,13.0
8,655687.5937,3614330.2812,12.3438
9,654560.8125,3615644.9375,11.6875
10,653298.2969,3617068.7813,10.375
11,652569.2188,3618053.0625,9.6875
12,651823.4687,3618924.75,9.0
13,651545.9062,3619525.125,8.5
14,650725.2656,3620639.5937,7.625
15,649400.5937,3622337.7187,2.1875
16,648572.2344,3623420.9375,-0.9063
17,647710.9062,3624460.2813,-4.0
18,646848.7031,3625654.9687,-7.0
19,646087.1719,3626883.0313,-10.0
20,645583.4688,3627612.3125,-12.625
21,644892.8438,3628492.5625,-15.25
22,643793.2656,3630026.5312,-17.0
23,643272.0156,3630718.625,-17.625
24,642476.3906,3631640.7812,-18.25
25,641923.1406,3632132.4063,-19.0
26,641585.625,3632374.5625,-19.5625
27,641144.2812,3632902.8125,-19.875
28,640466.8125,3633489.7813,-20.1875
29,639753.875,3634152.0,-20.75
30,639448.4531,3634781.9688,-21.375
31,639143.0312,3635411.9375,-22.0
32,638749.4531,3636266.3125,-22.625
33,638355.8594,3637120.6563,-23.25
34,637991.9219,3637767.2812,-23.875
35,637421.3125,3638267.5938,-24.5
36,636699.1563,3638947.2812,-25.75
37,636317.3125,3639830.8438,-26.375
38,635935.4687,3640714.4062,-27.0
39,635580.5,3641488.875,-25.9375
40,635310.25,3642267.3437,10.375
