,Easting(m),Northing(m),Elevation(m)
0,432018.6016,3997900.5937,1638.0
1,431808.0469,3996892.4375,1553.5
2,431821.2812,3995870.125,1419.0
3,431638.6797,3994581.4375,1334.0
4,431274.1094,3993124.4687,1276.125
5,431203.0078,3991930.5,1222.5
6,431623.1563,3991370.3437,1190.75
7,431524.8516,3990782.3125,1137.625
8,431197.7344,3990266.0625,1112.0
9,430908.2187,3989605.5938,1107.125
10,430654.7891,3988713.6875,1146.875
11,430894.5625,3988092.0625,1176.0
12,431172.0625,3987733.4687,1157.0
13,431222.5469,3987277.1875,1190.0
14,431062.4922,3986677.1562,1137.25
15,430824.1953,3986158.8438,1115.5
16,430922.2187,3985682.5,1105.0
17,430922.1016,3985318.25,1082.0
18,430852.1719,3984701.6875,1105.875
19,430768.1016,3984253.3437,1106.0
20,430613.1406,3983398.7188,949.0
21,430317.0703,3982594.875,955.0
22,430178.6875,3981911.2813,977.25
23,430164.5781,3981196.7187,960.0
24,430444.5313,3980440.3438,904.0
25,430374.4141,3979865.8125,895.5
26,430388.3672,3979291.3125,885.0
27,430108.0312,3978716.7813,875.375
28,430374.1328,3977791.9375,845.0
29,430233.6094,3977175.4687,777.5
30,430111.6953,3976330.8437,736.0
31,429727.4766,3975699.625,829.0
32,429274.3125,3974818.25,805.0
33,428794.3828,3973668.7813,931.0
34,428703.8359,3973159.1563,934.0
35,428748.7031,3972452.4687,880.0
36,429178.6016,3971692.8125,880.0
37,429364.2891,3970948.5625,863.0
38,429673.2344,3969822.1562,811.0
39,430055.0547,3968792.5,801.0
40,429967.8047,3966559.7187,764.0
41,430224.8516,3965920.5313,757.0
42,430472.8984,3964879.4375,712.0
43,430899.375,3963514.5,696.0
44,430931.9844,3961856.875,692.0
45,431113.8125,3960861.9687,692.0
46,431576.7188,3959516.125,689.0
47,431557.5781,3957692.1563,684.0
48,431910.4609,3955521.1563,671.0
