,Easting(m),Northing(m),Elevation(m)
0,446368.5312,3942699.875,723.455
1,446490.6562,3942817.25,725.3434
2,446677.875,3942999.5,713.9861
3,446823.5,3943140.125,714.8539
4,447139.25,3943445.875,716.7687
5,447289.6875,3943591.8125,711.8682
6,447443.375,3943740.25,706.8331
7,447642.4688,3943936.5625,693.5283
8,447823.1562,3944117.9375,682.7985
9,447970.0625,3944262.25,682.6962
10,448151.4688,3944441.375,676.4709
11,448324.7188,3944611.6875,670.511
12,448588.6563,3944873.375,652.3152
13,448800.875,3945083.5,640.9541
14,449010.2187,3945290.375,633.5449
15,449173.5937,3945449.625,625.2311
16,449426.4688,3945697.1875,616.5469
17,449636.8125,3945905.375,605.1884
18,450052.5312,3946322.8125,591.8536
19,450417.4375,3946688.6875,583.9786
20,450715.125,3946986.5,579.683
21,451293.3125,3947577.9375,574.8223
22,451625.5938,3947917.5625,578.3751
23,452016.6875,3948300.4375,596.301
24,452173.2812,3948460.125,606.4846
25,452526.2812,3948815.25,622.1052
26,452867.75,3949160.4375,628.9834
27,452982.375,3949279.0625,631.8009
28,453066.8438,3949428.5625,636.702
29,453266.2188,3949646.125,652.0808
30,453513.75,3949918.1875,668.9559
31,453785.8437,3950211.4375,693.8489
32,453974.9063,3950421.9375,703.844
33,454331.375,3950610.5625,706.931
34,454546.625,3950727.5625,707.2187
35,454873.9375,3951050.4375,706.821
36,455086.875,3951307.75,727.6406
37,455447.4688,3951747.375,740.9474
38,455591.0938,3951994.9375,731.888
39,455658.875,3952138.5625,750.6214
40,455904.9062,3952660.0,792.5163
41,456142.2188,3952969.4375,825.2698
42,456278.2812,3953137.9375,822.2207
43,456590.5,3953488.0625,788.7031
44,456747.3125,3953661.3125,782.4141
45,456783.8438,3953706.625,780.7565
