,Easting(m),Northing(m),Elevation(m)
0,435168.8438,3970086.1875,765.5342
1,435530.0625,3970416.6875,716.7651
2,436151.75,3970995.5,688.2658
3,436364.25,3971221.8125,675.6182
4,436749.1563,3971629.4375,674.3307
5,437169.3125,3972011.875,674.28
6,437634.2187,3972444.3125,688.1545
7,438091.0313,3972818.3125,706.1809
8,438191.7813,3972909.1875,738.1755
9,438571.5625,3973219.875,783.4528
10,438831.0,3973420.5,815.1549
11,439020.7813,3973550.1875,786.2766
12,439267.4688,3973740.0,794.0674
13,439492.1875,3973909.625,790.5282
14,439708.8438,3974076.125,803.5581
