,Easting(m),Northing(m),Elevation(m)
0,435945.5625,3971216.125,681.2776
1,435910.4063,3971399.9375,677.9932
2,435875.1563,3971600.0,675.0018
3,435852.5313,3971733.5,672.9926
4,435824.375,3971897.75,672.6478
5,435793.4063,3972078.375,672.2688
6,435749.8438,3972320.5625,671.1861
7,435723.375,3972463.5625,669.7758
8,435639.5313,3972909.1875,665.3732
9,435583.0313,3973185.3125,667.5148
10,435559.25,3973301.3125,668.4148
11,435463.125,3973784.5,672.4246
12,435365.5,3974274.9375,676.7896
13,435303.2813,3974591.75,679.6416
14,435276.5938,3974719.75,680.9802
15,435252.1563,3974826.3125,682.0942
16,435111.625,3975437.5,689.566
17,435005.5938,3975903.75,693.1813
18,434928.7813,3976240.1875,697.309
19,434886.0,3976410.9375,698.418
20,434836.5625,3976605.5,699.6753
21,434767.2813,3976875.9375,701.4189
22,434717.0938,3977063.3125,702.6918
23,434676.8438,3977213.3125,704.1246
24,434494.1563,3977894.125,710.1844
25,434422.0625,3978148.875,716.0974
26,434126.4063,3979168.875,732.8578
27,434067.1875,3979375.75,736.3323
