,Easting(m),Northing(m),Elevation(m)
0,441410.4688,3966001.5625,661.6735
1,441395.5313,3966092.8125,662.3876
2,441376.4063,3966209.625,663.3025
3,441353.625,3966348.0,664.8798
4,441323.4375,3966530.875,667.133
5,441285.2188,3966767.375,670.2511
6,441231.0625,3967102.625,674.6866
7,441215.125,3967201.6875,676.1721
8,441176.1875,3967443.3125,680.6155
9,441105.0938,3967882.9375,688.6987
10,441067.4688,3968123.125,692.1507
11,441038.25,3968309.0,695.2781
12,440995.4688,3968585.5,700.463
13,440969.9063,3968755.0625,703.6525
14,440896.0,3969247.75,710.5144
15,440835.5313,3969647.0,716.9984
16,440791.2813,3969939.4375,723.0349
17,440760.5313,3970148.8125,727.3703
18,440741.2813,3970280.5,729.5225
19,440698.2813,3970581.125,734.6805
20,440674.5938,3970752.6875,737.745
21,440620.4688,3971144.4375,745.2289
22,440594.7188,3971342.375,750.3969
23,440573.3438,3971523.0625,753.4196
24,440551.75,3971705.875,756.4784
25,440507.6563,3972078.375,762.54
26,440482.8438,3972283.875,768.7842
27,440458.1875,3972582.0625,777.9158
28,440436.1875,3972865.0625,786.6291
29,440440.9375,3973089.0,794.8338
30,440448.6563,3973451.1875,807.7724
31,440432.5938,3973676.9375,815.2115
32,440418.5625,3973814.0625,818.7159
33,440363.4063,3974226.0,828.1305
34,440343.5625,3974374.3125,831.5194
35,440327.0938,3974458.25,833.2596
36,440278.0938,3974666.875,835.6172
37,440242.875,3974820.5625,835.9299
38,440112.3125,3975401.625,836.2377
39,440077.3438,3975556.0625,837.8777
40,439999.75,3975894.5625,841.4399
41,439955.3125,3976089.4375,841.9743
42,439920.5938,3976232.5,842.3196
43,439866.5,3976437.1875,845.6534
44,439754.625,3976881.5625,824.4299
45,439707.4063,3977063.3125,815.6439
46,439661.8125,3977232.3125,816.3754
47,439555.2813,3977624.1875,822.0182
48,439481.9063,3977894.125,825.9045
49,439440.0313,3978045.875,826.1743
50,439399.0625,3978186.5625,826.766
51,439241.2188,3978724.9375,832.7307
52,439090.6563,3979237.5625,839.6024
53,438996.1875,3979555.75,843.8357
54,438956.2813,3979681.0625,857.3118
55,438914.9063,3979799.875,888.2596
56,438831.0,3980038.0,950.3405
57,438729.4688,3980337.625,1007.3583
58,438677.0313,3980502.125,1024.0472
59,438568.875,3980853.0625,1028.9659
60,438477.5,3981150.375,1030.3474
61,438456.375,3981217.4375,1030.6317
62,438349.0,3981566.25,1031.4963
63,438278.8125,3981765.6875,1077.761
64,438260.2813,3981819.25,1090.1483
