,Easting(m),Northing(m),Elevation(m)
0,439966.125,3967226.75,673.667
1,439888.4062,3967452.875,674.5683
2,439699.9687,3968000.125,677.9686
3,439602.9375,3968280.75,684.7805
4,439495.25,3968588.5,695.3367
5,439437.8438,3968755.0625,696.1785
6,439323.3437,3969093.5625,685.6616
7,439242.625,3969327.4375,687.6595
8,439120.6563,3969681.5625,690.5953
9,438879.4688,3970368.1875,695.7056
10,438718.5312,3970825.625,697.7809
11,438570.4688,3971247.5625,699.0128
12,438456.5,3971572.125,700.4758
13,438280.0625,3972078.375,700.9573
14,438194.3125,3972323.9375,702.009
15,438104.5938,3972569.375,702.9409
16,437980.375,3972909.1875,704.2839
17,437925.0625,3973040.3125,706.1444
18,437591.4063,3973740.0,716.0609
19,437402.375,3974138.25,717.3097
20,437263.8125,3974476.3125,719.2941
21,437169.3125,3974733.25,720.8759
22,437034.8125,3975126.25,725.3116
23,436893.5312,3975559.9375,728.9313
24,436828.0313,3975756.3125,729.364
25,436625.9063,3976373.8125,729.6954
26,436505.1563,3976750.25,727.5762
27,436439.4375,3976948.75,726.4006
28,436286.0313,3977416.4375,727.5626
29,436157.3438,3977804.0,730.0281
30,435908.0938,3978537.125,734.2322
31,435780.0625,3978912.625,739.298
32,435619.375,3979370.75,749.9051
33,435507.6563,3979691.875,756.6492
34,435384.9688,3980044.625,764.9473
35,435356.125,3980126.875,766.8835
