,Easting(m),Northing(m),Elevation(m)
0,434861.9063,3972143.9375,676.528
1,434762.25,3972339.0625,674.9685
2,434676.8437,3972505.0625,673.6478
3,434462.5,3972909.1875,668.7087
4,434231.4687,3973354.5625,668.4818
5,434092.875,3973621.6875,668.8793
6,433977.3437,3973838.1875,669.7434
7,433596.75,3974568.0625,675.225
8,433334.125,3975082.75,676.4775
9,433175.125,3975401.625,677.3476
10,433045.75,3975661.8125,678.3755
11,432897.1875,3975961.125,679.1831
12,432787.8438,3976182.625,679.7128
13,432512.7812,3976734.9375,684.9987
14,432328.5625,3977106.375,687.8208
15,432184.4063,3977393.8125,691.1386
16,432016.3437,3977728.0625,695.239
17,431840.4062,3978078.125,706.8367
