,Easting(m),Northing(m),Elevation(m)
0,445486.7812,3959064.6875,645.4171
1,445660.4062,3958785.1875,645.5729
2,445867.5,3958452.125,645.0877
3,446070.875,3958205.75,645.5141
4,446199.4688,3958046.125,645.8573
5,446536.5625,3957709.3125,644.7788
6,446983.0625,3957255.875,641.954
7,447139.25,3957066.9375,640.7258
8,447420.1563,3956726.9375,639.3353
9,447573.5938,3956513.5625,638.2685
10,447718.3437,3956327.5625,637.4322
11,447953.2187,3956105.9375,637.5648
12,448116.1875,3955968.75,638.6871
13,448413.875,3955654.0,640.4027
14,448545.75,3955461.875,640.7452
15,448646.3437,3955314.75,641.8921
16,448793.7812,3955099.125,643.5732
17,448962.7188,3954908.875,646.5151
18,449407.125,3954406.5,655.0476
19,449807.8125,3953982.5625,679.8068
20,450207.6563,3953657.0625,698.2683
21,450779.7187,3953187.3125,715.2626
22,451174.6563,3952850.8125,730.1113
23,451636.25,3952481.5625,772.1487
24,452068.75,3952138.5625,768.2224
25,452306.3438,3951936.3125,754.9143
26,452954.9688,3951416.625,720.6484
27,453129.3125,3951276.9375,711.3857
28,453845.5625,3950684.3125,707.5672
29,454085.5313,3950480.125,706.596
