,Easting(m),Northing(m),Elevation(m)
0,470879.6563,3932080.625,738.4842
1,470758.3125,3932198.8125,738.9363
2,470457.9063,3932493.625,732.947
3,470222.625,3932733.1875,727.7065
4,469904.5313,3933029.625,721.1558
5,469696.5,3933217.125,719.8975
6,469571.5,3933332.4375,716.7965
7,469305.7813,3933594.75,706.1237
8,469136.5625,3933761.75,699.3614
9,469038.4688,3933860.125,695.4013
10,468876.5313,3933996.3125,690.7142
11,468796.3125,3934064.6875,685.6735
12,468426.6875,3934377.3125,659.6448
13,467975.4375,3934756.875,635.1206
14,467500.7813,3935113.0625,626.1462
15,466907.75,3935567.875,609.353
16,466789.9063,3935746.5625,606.796
17,466650.2813,3935924.1875,603.9287
18,466248.1563,3936453.8125,582.0552
19,466113.2813,3936631.5,577.2387
20,465825.7188,3936922.8125,568.9516
21,465635.1875,3937152.5,563.1249
22,465506.9375,3937273.3125,560.1614
23,465399.9688,3937338.375,557.5778
24,465265.6563,3937468.5625,554.6526
25,465004.375,3937721.8125,548.9691
26,464663.4375,3938014.5625,542.3658
27,464500.9375,3938152.5,543.9846
28,464199.6875,3938392.5625,548.5455
29,464095.9688,3938488.375,550.0624
30,463859.4688,3938735.0625,553.5154
31,463789.625,3938845.375,554.7277
32,463453.5,3939374.0,565.3959
33,463315.3438,3939587.5,570.1905
34,463223.25,3939709.375,573.4719
35,463112.1563,3939863.4375,578.9822
36,462954.2813,3940083.875,582.5194
37,462778.3438,3940307.5625,594.0272
38,462691.25,3940407.6875,596.2551
39,462439.9063,3940659.25,607.5089
40,462258.2188,3940845.75,614.0615
41,462094.0625,3941010.6875,613.9016
42,461761.2188,3941337.875,619.3747
43,461615.9062,3941488.5625,624.717
44,461502.1563,3941635.5,630.0585
45,461166.9688,3942072.375,651.9216
46,461103.9375,3942159.125,648.69
47,460587.2813,3942666.4375,646.2798
48,460321.8125,3942888.9375,648.9991
49,460175.4375,3942999.5,658.3655
50,459994.8125,3943136.75,668.4705
51,459841.7188,3943235.6875,676.6687
52,459601.5625,3943378.75,674.3854
53,459319.8125,3943548.625,666.8577
54,459036.7813,3943714.1875,671.3718
55,458770.75,3943803.9375,675.0585
56,458402.0625,3943971.125,664.2838
57,457939.9375,3944010.3125,650.4158
58,457434.8125,3944070.75,623.8752
59,457109.125,3944258.75,597.6943
60,456876.9063,3944428.9375,578.0537
61,456739.75,3944557.125,573.4424
62,456556.4063,3944734.9375,568.9203
63,456278.2813,3945039.0625,565.75
64,456061.5625,3945275.1875,564.3912
65,455867.4375,3945491.9375,560.0386
66,455527.5938,3945836.5625,561.8077
67,455298.25,3946055.8125,562.3113
68,455086.125,3946250.75,562.4215
69,454885.5,3946421.6875,566.3104
70,454616.6563,3946627.3125,574.1887
71,454444.6563,3946761.8125,574.1316
72,454107.8438,3947031.25,574.3238
73,453730.7188,3947414.0625,578.3213
74,453478.25,3947646.6875,583.7993
75,453287.5,3947845.6875,588.9767
76,452954.9688,3948245.4375,597.9166
77,452796.875,3948411.9375,602.4252
78,452659.1563,3948519.4375,605.029
79,452515.625,3948628.5,612.2233
80,452206.875,3948815.25,625.1462
81,451991.375,3948948.0,629.4169
82,451693.9375,3949132.875,632.048
83,451632.7813,3949178.5,632.9384
84,451542.6875,3949245.6875,634.2483
85,451473.0,3949294.1875,635.1019
86,451393.5938,3949352.4375,636.2133
87,451160.9375,3949546.0625,639.7396
88,450839.6875,3949819.75,641.3
89,450735.4063,3949919.0625,641.6004
90,450462.5,3950149.625,680.0413
91,450227.2188,3950476.9375,692.6507
92,449888.3438,3950836.0625,718.5694
93,449520.375,3951307.75,755.6967
94,449367.6563,3951571.8125,756.9663
95,449113.6875,3952046.1875,738.6954
96,448934.0625,3952271.75,719.475
97,448800.875,3952403.625,715.5013
98,448536.375,3952704.9375,679.6146
99,448388.6563,3952969.4375,667.8278
100,448240.625,3953254.875,645.4613
101,448193.5625,3953341.4375,643.0404
102,448043.8125,3953649.375,634.7101
