,Easting(m),Northing(m),Elevation(m)
0,467449.8125,3931211.25,691.2066
1,467332.0938,3931368.0,679.7172
2,467151.2813,3931609.5625,663.4004
3,466924.5,3931910.3125,644.74
4,466703.6875,3932198.8125,630.4711
5,466506.0625,3932456.75,620.7286
6,466310.4375,3932708.5625,608.0615
7,466054.4063,3933029.625,595.2372
8,465772.0625,3933384.375,589.2925
9,465487.2813,3933756.8125,580.6202
10,465275.4688,3934007.875,578.7222
11,465152.1875,3934153.875,579.201
12,464940.8125,3934417.25,580.1558
13,464733.375,3934691.25,581.2517
14,464586.5313,3934885.125,583.7557
15,464484.6563,3935019.8125,582.7881
16,464289.625,3935242.8125,580.2706
17,464027.8438,3935616.875,574.1337
18,463755.7188,3935995.6875,576.1538
19,463416.7813,3936435.75,571.9578
20,463162.3125,3936590.3125,561.6065
21,462924.9063,3936699.8125,558.1747
22,462535.0,3936879.75,563.0784
23,462167.875,3937109.9375,567.3143
24,461956.3125,3937252.0625,568.7776
25,461651.3438,3937571.875,570.2568
26,461360.9375,3938014.5625,585.2051
27,461166.6563,3938263.125,598.8987
28,460930.0625,3938512.25,617.8618
29,460733.1563,3938722.9375,624.4608
30,460594.125,3938871.3125,630.3357
31,460432.375,3939166.125,649.1044
32,460239.1563,3939482.9375,679.5002
33,460091.125,3939676.1875,676.41
34,459910.2188,3939894.875,679.5276
35,459601.5625,3940161.0,684.3125
36,459259.0625,3940507.0625,698.2652
37,459020.6875,3940786.125,695.9711
38,458727.375,3941381.25,683.8195
39,458573.9688,3941690.0,682.405
40,458336.0313,3942168.6875,680.2144
41,458052.625,3942728.8125,688.0001
42,457922.75,3942999.5,690.8683
43,457659.6563,3943550.0625,666.5848
44,457527.875,3943830.375,644.6409
45,457329.0937,3944050.3125,620.6137
46,457172.1875,3944222.375,602.7153
47,457079.0,3944445.75,245.3975
48,456873.7812,3944728.5625,182.7236
49,456422.75,3945352.625,-69.093
50,456236.8125,3945620.1875,-157.2731
51,456188.75,3945699.875,-192.1431
52,455961.4063,3945972.25,-278.7245
