,Easting(m),Northing(m),Elevation(m)
0,443646.7188,3936598.4375,831.6209
1,443944.2813,3936901.125,827.4101
2,444223.0938,3937183.75,825.0964
3,444493.9063,3937458.125,824.416
4,444750.5,3937709.1875,823.9984
5,444869.1875,3937824.75,823.7429
6,445187.0625,3938143.6875,822.9742
7,445477.5938,3938434.375,822.6832
8,445896.7813,3938845.375,822.9926
9,446308.4375,3939259.6875,822.4174
10,446703.6563,3939722.9375,815.3746
11,447057.6563,3940131.1875,805.7479
12,447333.5313,3940507.0625,793.6503
13,447693.0,3940958.125,779.2874
14,447823.2188,3941117.375,774.2781
15,448137.2188,3941586.5,756.5537
16,448421.625,3942003.9375,737.9428
17,448608.8438,3942232.4375,726.5751
18,448896.6875,3942482.625,714.2974
19,449153.9063,3942646.5,706.0089
20,449631.6875,3942948.5,689.7844
21,449857.9062,3943091.875,679.71
22,450168.75,3943293.25,665.6171
23,450990.0938,3943830.375,641.244
24,451149.9688,3943980.5,630.5862
25,451293.3125,3944217.1875,621.3618
26,451561.9688,3944661.125,601.3631
27,451812.4375,3944972.8125,588.2194
28,452143.1875,3945293.6875,581.445
29,452263.1563,3945448.4375,578.4208
30,452354.8438,3945566.75,575.5231
31,452687.2813,3945956.6875,568.1684
32,453131.0938,3946519.5625,564.6686
33,453425.625,3946886.8125,566.5368
34,453636.6875,3947153.625,567.8965
35,454046.5,3947723.8125,603.478
36,454538.125,3948520.625,637.1566
37,454717.9688,3948815.25,644.7206
38,454870.3125,3949064.125,654.5877
39,455155.875,3949482.4375,668.5893
40,455447.4688,3949913.5625,685.6453
41,455614.9375,3950134.3125,686.0126
42,456260.4375,3950886.0,684.6435
43,456708.125,3951413.375,694.8003
44,457024.8125,3951786.4375,709.9749
45,457197.25,3951997.125,717.7204
46,457515.7188,3952387.25,720.0205
47,457860.5938,3952800.25,715.9556
48,457974.4375,3952934.9375,717.3716
49,458030.0,3953000.125,725.2127
50,458131.4063,3953117.375,739.7771
