,Easting(m),Northing(m),Elevation(m)
0,415242.5625,4016480.625,1149.0233
1,415208.5625,4016583.5,1147.6959
2,415171.9688,4016695.1875,1144.095
3,415112.7188,4016858.625,1138.6715
4,415096.6875,4016902.875,1137.203
5,415081.8125,4016942.875,1135.865
6,415061.2188,4016997.8125,1135.0795
7,415005.625,4017130.5625,1133.0237
8,414980.125,4017185.875,1132.104
9,414916.5625,4017323.875,1130.1166
10,414792.4375,4017593.25,1126.2349
11,414737.125,4017705.5625,1124.5258
12,414714.625,4017751.1875,1123.8981
13,414703.5625,4017773.6875,1123.2827
14,414440.7813,4018308.125,1099.6329
15,414339.9375,4018512.9375,1095.673
16,414285.3438,4018604.5,1093.7594
17,414152.6563,4018827.375,1086.2343
18,414143.875,4018842.0625,1085.7372
19,413906.3125,4019240.75,1076.4187
20,413841.9063,4019348.875,1073.91
21,413833.25,4019362.25,1073.594
22,413785.875,4019435.3125,1072.7806
23,413779.5,4019445.125,1072.7198
24,413727.2813,4019518.875,1072.2604
25,413646.6563,4019598.25,1071.7494
26,413546.5938,4019730.4375,1070.9216
27,413497.7188,4019795.0,1070.5171
28,413478.0313,4019837.875,1070.2572
29,413419.375,4019966.3125,1068.9364
30,413396.5,4020016.5,1068.4205
31,413090.5625,4020266.125,1065.1674
32,413082.2188,4020272.9375,1065.077
33,413075.4063,4020278.5,1065.0294
34,413008.5313,4020333.0,1064.8101
35,412798.3438,4020504.375,1063.983
36,412790.375,4020551.1875,1063.8212
37,412723.7188,4020942.0625,1061.3242
38,412669.4063,4021097.0,1060.3969
39,412560.0625,4021409.25,1059.119
40,412463.9375,4021668.0625,1058.0724
41,412440.0313,4021732.375,1057.8123
42,412367.4688,4021927.8125,1057.4285
43,412351.6563,4021970.4375,1057.3235
44,412348.0938,4021985.6875,1057.2883
45,412342.6563,4022000.125,1057.2528
46,412334.6875,4022017.9375,1057.2075
47,412244.5938,4022219.25,1057.2588
48,412218.2813,4022278.0625,1057.2582
49,412003.1875,4022758.625,1057.2537
50,411974.625,4022822.5,1057.2098
51,411937.4063,4022913.125,1057.1466
52,411824.7188,4023178.5,1056.9628
53,411756.2188,4023339.75,1056.7332
54,411693.6563,4023487.0625,1056.5233
55,411649.2188,4023589.4375,1056.379
56,411599.625,4023703.6875,1056.3611
57,411597.25,4023709.125,1056.3602
58,411594.0938,4023715.5625,1056.3597
59,411413.7813,4024083.8125,1056.3334
60,411337.0625,4024240.4375,1056.2711
61,411254.9375,4024420.25,1056.1946
62,411172.8125,4024600.0,1055.8749
63,411120.625,4024713.4375,1055.6735
64,411086.2188,4024788.25,1055.5223
65,410990.8438,4024986.875,1055.1266
66,410974.0938,4025021.375,1055.0581
