,Easting(m),Northing(m),Elevation(m)
0,301062.9844,3814206.1406,400.0
1,297656.5781,3813410.4375,281.0
2,293702.3281,3812381.1875,242.0
3,289730.2187,3811463.1875,213.0
4,287081.9844,3811064.5625,243.0
5,284614.375,3810674.8125,243.0
6,280734.5313,3810530.4375,304.0
7,276886.0625,3810210.125,597.0
8,272867.3281,3811470.1875,295.0
9,269293.8594,3811976.4375,265.0
10,265984.9062,3812557.375,213.0
11,263043.4375,3813243.1094,162.0
12,260390.7031,3813062.6563,60.0
13,257142.4531,3813622.0625,98.0
14,252705.5156,3814497.1875,236.0
15,249422.1875,3814045.1875,85.0
16,247342.625,3813848.4687,60.0
17,245782.9375,3813806.3125,32.0
18,244110.8438,3813272.375,29.0
19,242565.2187,3812738.4219,26.0
20,239177.625,3812562.9375,11.0
21,236087.625,3812330.9375,12.0
22,233687.25,3812787.4375,11.0
