,Easting(m),Northing(m),Elevation(m)
0,262446.4688,3806488.3125,-118.2198
1,261536.0,3806517.625,-132.809
2,260626.5625,3806539.5469,-125.509
3,259717.125,3806561.4687,-123.0157
4,258807.6875,3806583.4062,-122.047
5,257898.2344,3806605.3281,-142.6256
6,256988.7969,3806627.25,-203.6759
7,256079.3594,3806649.1719,-217.7434
8,255169.9219,3806671.0938,-12.4068
9,254177.9219,3806748.5938,392.6439
10,253185.9375,3806826.0781,570.3783
11,252193.9375,3806903.5781,151.8046
12,251201.9531,3806981.0625,-141.5401
13,250209.9531,3807058.5625,-199.3028
14,249391.7969,3807132.3906,-166.4106
15,248573.625,3807206.2188,-154.5145
16,247755.4687,3807280.0625,-189.6737
17,246937.3125,3807353.8906,-228.0268
18,245991.75,3807481.5938,-221.1269
19,245046.1875,3807609.2813,-231.2753
20,244100.625,3807736.9844,-199.1928
21,243155.0625,3807864.6719,-96.7723
22,242209.5,3807992.375,-12.5579
23,241263.9375,3808120.0625,-159.2073
24,240318.375,3808247.7656,-422.0499
