,Easting(m),Northing(m),Elevation(m)
0,289069.9063,3806076.25,210.0
1,289371.0313,3805127.25,202.0
2,289492.5625,3804436.25,146.0
3,289489.7813,3803792.75,121.0
4,288909.3125,3802888.5,106.0
5,288504.0313,3802490.5,60.0
6,288048.3438,3802109.0,127.0
7,287533.5313,3801865.25,166.0
8,286958.0625,3801734.25,182.0
9,286373.1563,3801593.75,331.0
10,286010.7188,3801334.5,364.0
11,285769.5,3801236.5,426.0
12,285448.5938,3801369.75,352.0
13,285062.375,3801476.25,243.0
14,284657.2188,3801460.75,304.0
15,284280.125,3801655.5,471.0
16,283797.5625,3801789.75,487.0
17,283319.5938,3801959.25,396.0
18,282932.9688,3801888.5,408.0
19,282603.5313,3801829.0,426.0
20,282279.5625,3801904.25,293.0
21,281906.25,3801924.25,275.0
22,281488.6875,3801966.25,182.0
23,281104.4375,3802085.5,122.0
24,280740.7813,3802378.0,243.0
25,280258.5625,3802616.5,154.0
26,279591.5313,3803051.5,217.0
27,278896.2813,3803478.5,131.0
28,278242.5625,3803784.25,177.0
29,277619.125,3804052.5,74.0
30,277059.7813,3804309.0313,150.3892
31,276102.6563,3804760.0938,19.8154
32,275087.1406,3805231.2656,-100.8337
33,273722.375,3805735.3906,-220.644
34,272674.0625,3805791.4688,-231.7065
35,271518.6875,3805624.8438,-232.9565
36,270396.2969,3805352.2813,-231.769
37,269357.2969,3805093.75,-231.2065
38,267981.5625,3804736.1094,-231.769
39,266620.3594,3804410.0469,-232.394
40,265636.6719,3804259.6563,-233.5815
41,264513.2969,3804224.5781,-231.9565
42,263499.0156,3804220.7344,-230.0192
43,262764.9375,3804222.2969,-394.3709
44,262030.875,3804223.8594,-203.0112
45,261325.5313,3804421.0156,101.6086
46,260620.2031,3804618.1719,-329.4334
47,259864.8438,3804696.1563,-544.192
48,259109.5,3804774.1563,-582.3596
49,258354.1406,3804852.1406,-459.2625
50,257665.4531,3804551.3281,-31.3059
51,256756.6719,3804718.25,-384.9797
52,255969.1563,3804875.9375,-976.5333
53,255181.625,3805033.625,-855.1663
54,254298.4688,3805117.2969,-508.9083
55,253415.3281,3805200.9688,-232.3856
56,252564.2813,3805284.0,-293.6862
57,251713.2188,3805367.0313,-352.5605
58,250958.7031,3805271.6719,-249.5211
59,250204.1875,3805176.3125,-156.5512
60,249453.3594,3805286.1563,-135.4025
61,248702.5313,3805395.9844,-142.9921
62,248120.6094,3805459.7656,-136.7669
63,247538.6875,3805523.5469,-143.3763
64,246923.5,3805658.3125,-172.462
65,246051.9375,3806038.6094,-131.4731
66,245400.6875,3806452.0,53.6446
67,244749.4375,3806865.4063,-96.8529
68,244192.7813,3806980.1094,-176.0923
69,243636.125,3807094.8125,-232.4354
70,242774.9063,3807167.3594,-368.8254
71,241913.6875,3807239.9063,-398.2244
72,241122.7813,3807362.875,-497.4556
73,240331.875,3807485.8594,-214.3527
74,239529.8125,3807672.3281,-239.225
75,238727.75,3807858.7969,-377.985
76,238175.3125,3807768.7813,-315.8762
77,237622.8438,3807678.75,-114.9259
78,237045.5938,3808000.1875,-168.2542
79,236259.3125,3808390.0938,-153.4769
80,235525.9063,3808891.375,-204.1979
81,234760.1563,3809155.9063,-124.5487
82,233994.4063,3809420.4453,-115.0427
83,233228.6563,3809684.9766,-106.4288
84,232462.9063,3809949.5156,-98.7324
85,231697.1563,3810214.0469,-171.4589
86,231030.4688,3810181.7813,-9.7192
87,230363.75,3810149.5156,-34.588
88,229697.0625,3810117.25,-117.7687
89,229197.5625,3810013.5625,-77.9191
90,228698.0313,3809909.875,-161.4923
91,228197.0938,3810026.4063,-385.8981
