,Easting(m),Northing(m),Elevation(m)
0,325320.625,3808156.3125,102.8943
1,324970.625,3808306.3125,60.4522
2,324620.625,3808456.3125,18.01
3,324295.625,3808631.3125,-29.5831
4,323970.625,3808806.3125,-77.1762
5,323695.625,3808781.3125,-80.535
6,323420.625,3808756.3125,-83.8939
7,323145.625,3808681.3125,-77.114
8,322870.625,3808606.3125,-70.3341
9,322503.9688,3808539.625,-71.9165
10,322137.3125,3808473.0,-73.4988
11,321770.625,3808406.3125,-75.0812
12,321445.625,3808156.3125,-34.3287
13,321120.625,3807906.3125,6.4238
14,320753.9688,3807656.3125,44.9816
15,320387.3125,3807406.3125,83.5393
16,320020.625,3807156.3125,122.0971
17,319620.625,3807056.3125,118.0201
18,319220.625,3806956.3125,113.9432
19,318795.625,3806806.3125,113.8222
20,318370.625,3806656.3125,113.7011
21,318045.625,3806581.3125,99.516
22,317720.625,3806506.3125,85.3308
23,317270.625,3806531.3125,23.6432
24,316820.625,3806556.3125,-38.0443
25,316445.625,3806556.3125,-83.615
26,316070.625,3806556.3125,-129.1857
27,315670.625,3806556.3125,-170.5238
28,315270.625,3806556.3125,-211.862
29,314870.625,3806556.3125,-243.5535
30,314470.625,3806556.3125,-275.2451
31,314195.625,3806431.3125,-223.4527
32,313920.625,3806306.3125,-171.6604
33,313495.625,3806106.3125,-60.7659
34,313070.625,3805906.3125,50.1287
35,312753.9688,3805706.3125,123.729
36,312437.3125,3805506.3125,197.3292
37,312120.625,3805306.3125,270.9295
38,311695.625,3805056.3125,248.7292
39,311270.625,3804806.3125,226.529
40,310937.3125,3804623.0,195.9266
41,310603.9688,3804439.625,165.3243
42,310270.625,3804256.3125,134.7219
43,309920.625,3804056.3125,142.5184
44,309570.625,3803856.3125,150.315
45,309220.625,3803656.3125,158.1115
46,308795.625,3803456.3125,163.8215
47,308370.625,3803256.3125,169.5316
48,307945.625,3803031.3125,178.8891
49,307520.625,3802806.3125,188.2466
50,307170.625,3802681.3125,184.6048
51,306820.625,3802556.3125,180.963
52,306420.625,3802373.0,187.0662
53,306020.625,3802189.625,193.1693
54,305620.625,3802006.3125,199.2725
55,305320.625,3801931.3125,191.6317
56,305020.625,3801856.3125,183.991
