,Easting(m),Northing(m),Elevation(m)
0,298632.0937,3795486.5469,98.6445
1,297880.5938,3795357.4531,102.6934
2,297129.0938,3795228.375,104.8594
3,296585.1094,3795163.8125,93.6816
4,295896.625,3795148.5937,89.7793
5,295208.125,3795138.3594,92.8232
6,294519.625,3795103.1406,84.6436
7,293952.5312,3795121.5781,84.8887
8,293385.4219,3795140.0156,74.9355
9,292648.4375,3795197.1094,87.6152
10,291891.4688,3795224.1875,38.6943
11,291144.5313,3795318.5313,38.4678
12,290397.5937,3795392.8594,56.874
13,289881.5,3795468.1719,57.4785
14,289355.3906,3795503.5,36.4414
15,288838.875,3795585.7656,22.6582
16,288322.3437,3795668.0313,5.5859
17,287582.25,3795654.5312,-39.4971
18,286842.1406,3795541.0156,-99.0264
