,Easting(m),Northing(m),Elevation(m)
0,341172.0625,3808186.8125,0.0
1,338761.0156,3807560.4219,0.0
2,336643.2188,3806882.875,0.0
3,334460.0469,3805885.7969,0.0
4,332469.9531,3805848.5781,0.0
5,330229.0781,3806323.5625,0.0
6,327536.5781,3806343.4219,0.0
7,325881.6406,3805855.2969,0.0
8,324252.7188,3804979.2188,0.0
9,321853.6875,3803720.6406,0.0
10,319444.9844,3803529.1875,0.0
11,317517.2031,3802967.9375,0.0
12,316145.5156,3803172.8437,0.0
13,314772.9688,3803160.0625,0.0
14,311725.1406,3802518.5937,0.0
15,309561.2031,3800925.3437,0.0
16,307406.9844,3799041.6094,0.0
17,306628.25,3797819.4219,0.0
18,305269.2656,3796871.6406,0.0
19,303837.5469,3794475.4688,0.0
20,301200.4219,3793967.25,0.0
21,298537.5781,3793329.125,0.0
22,296500.0,3793195.2969,0.0
23,294989.9531,3792525.0938,0.0
24,292366.7031,3791920.0,0.0
25,291198.9063,3791570.125,0.0
