,Easting(m),Northing(m),Elevation(m)
0,347138.1875,3808613.75,272.0529
1,347067.9063,3808914.25,307.5334
2,346913.3437,3809237.0,302.214
3,346771.7187,3809439.75,307.0439
4,346604.7188,3809643.0,294.0823
5,346523.375,3809975.25,323.8752
6,346435.0625,3810281.75,351.4207
7,346277.875,3810535.0,365.6574
8,345967.0,3810654.0,361.8781
9,345556.7188,3810685.5,388.2172
10,345111.25,3810680.5,430.4942
11,344830.6562,3810827.75,426.5929
12,344574.9688,3810954.75,429.9376
13,344236.5,3810989.25,480.6335
14,343877.5625,3810966.0,500.7226
15,343518.3125,3810853.5,441.5585
16,343230.2813,3810772.75,484.6686
17,342981.2188,3810746.5,513.6837
18,342711.7812,3810778.75,545.0892
19,342450.1875,3810787.5,542.0914
20,342085.9062,3810706.25,469.466
21,341729.75,3810592.75,486.1105
22,341419.375,3810500.75,471.625
23,341063.6875,3810494.75,478.2895
24,340757.375,3810537.75,487.6096
25,340511.1875,3810642.75,465.4874
26,340278.2812,3810792.25,418.4548
27,340042.5937,3810938.5,374.6361
28,339761.4375,3811065.5,364.7382
29,339477.6562,3811230.75,349.2752
30,339250.2188,3811240.0,306.1686
31,339020.8438,3811154.75,287.7726
32,338835.0625,3811052.0,231.5866
