,Easting(m),Northing(m),Elevation(m)
0,355804.2188,3811161.5,-655.9621
1,355538.625,3811185.0,-656.1713
2,354934.7813,3811240.0,-657.388
3,354384.8125,3811286.5,-656.747
4,353917.9375,3811328.0,-657.1588
5,353461.5625,3811369.5,-658.1434
6,352967.75,3811414.5,-659.0914
7,352507.0,3811447.75,-655.6878
8,352145.25,3811563.5,-466.5646
9,351771.0,3811684.75,-258.6296
10,351395.125,3811802.0,-47.6775
11,351033.7812,3811916.5,154.2242
12,350726.9062,3812023.75,321.1958
13,350437.3437,3812126.25,352.2429
14,350147.3438,3812242.0,365.689
15,349805.5625,3812354.0,379.356
16,349441.9375,3812466.25,397.3941
17,349060.8125,3812499.5,414.302
18,348666.5,3812590.0,424.986
19,348314.125,3812670.5,423.9247
20,347914.2187,3812722.75,373.9947
21,347458.4375,3812750.25,365.7135
22,347044.1563,3812786.5,408.3899
23,346663.8125,3812902.75,423.7673
24,346349.75,3812976.25,423.387
25,346038.25,3812986.0,425.2104
26,345765.1563,3812922.75,445.7923
27,345518.4688,3812810.0,497.9778
28,345262.4687,3812710.25,544.1526
29,344970.6875,3812635.0,539.994
30,344693.9375,3812571.0,533.9063
31,344473.5625,3812448.75,605.1119
32,344217.1875,3812258.75,548.3538
33,343897.5937,3812113.5,488.9755
34,343576.3125,3812038.0,512.0361
35,343324.2187,3812008.0,479.4342
36,343045.9375,3811985.25,490.8831
37,342743.1875,3811939.0,498.9672
38,342405.2188,3811817.25,428.3582
39,342135.5312,3811779.5,399.4041
40,341913.7188,3811791.75,408.3179
41,341700.375,3811767.5,443.2951
42,341448.2813,3811721.25,407.7781
43,341187.625,3811678.0,368.8677
44,340871.7813,3811675.75,377.6482
45,340524.8125,3811730.25,360.0876
46,340106.4375,3811788.25,306.8382
47,339735.5938,3811894.25,334.9556
48,339371.6563,3811978.5,333.1542
49,339200.5313,3811982.0,303.6879
