,Easting(m),Northing(m),Elevation(m)
0,337810.6406,3810795.3594,234.3581
1,337373.1406,3810528.5313,177.647
2,336676.9375,3810346.125,112.5395
3,335980.75,3810163.7031,172.5979
4,335478.2031,3810192.5156,222.5323
5,334975.6562,3810221.3281,328.5185
6,334302.375,3810249.5,212.8988
7,333680.5,3809604.2188,350.3372
8,332829.4375,3809220.7344,263.338
9,331978.375,3808837.25,195.2242
10,331475.4219,3808353.5156,175.5579
11,330972.4687,3807869.7813,156.2545
12,330283.9687,3807652.3594,121.6886
13,329595.4687,3807434.9219,101.1673
14,329008.8437,3807439.0313,20.1002
15,328498.6875,3807404.0156,-29.6009
16,327988.5313,3807369.0,17.0765
17,327491.1875,3807519.25,20.094
18,326560.1563,3807595.3594,91.2704
19,326013.4688,3807803.2812,130.4913
20,325466.7656,3808011.2188,189.3277
21,325131.0313,3808484.6094,199.5372
22,324795.2813,3808958.0,211.7421
23,324299.1875,3809398.2344,245.5154
24,323803.1094,3809838.4688,287.3545
25,323629.2187,3810633.7031,231.8887
26,323455.3438,3811428.9375,195.9571
27,323245.2188,3811984.4688,209.4991
28,323035.0938,3812540.0,160.9808
29,322460.7656,3812761.25,312.2892
30,321885.5313,3812874.75,427.4053
31,321455.5625,3812916.1875,229.9303
32,320818.2344,3812285.9531,370.5966
33,320180.9219,3811655.7188,458.1703
34,319543.5937,3811025.5,595.7445
35,319068.0625,3811060.3125,480.5828
36,318419.625,3810581.0,643.8975
37,317576.5781,3810861.4687,453.0091
38,316847.5313,3810430.8281,631.9023
39,316038.2031,3810476.0,634.1893
40,315228.875,3810521.1562,677.6638
41,314419.5625,3810566.3125,722.5997
42,313610.2344,3810611.4688,782.6065
43,312800.9063,3810656.6406,826.5468
44,312064.5156,3810848.4062,758.8674
45,311328.1094,3811040.1875,680.1631
46,310591.7031,3811231.9688,658.9254
47,309929.6094,3811634.375,585.2271
48,309267.5,3812036.7813,513.1707
49,308466.3594,3812029.0469,525.4574
50,307665.2188,3812021.3125,402.4002
51,306736.125,3811822.2812,426.006
52,305763.0,3812023.25,470.9255
53,305321.5938,3812569.2187,402.9048
54,304880.2031,3813115.1875,341.8737
55,304167.8594,3813321.8437,459.9337
56,303455.5156,3813528.5,507.2066
57,302743.1719,3813735.1875,535.6848
58,301960.125,3813981.5,506.7747
59,301177.0625,3814227.8437,466.3604
60,300394.0156,3814474.1719,420.0708
61,299610.9688,3814720.5,377.4416
