,Easting(m),Northing(m),Elevation(m)
0,321188.3594,3768659.4219,13.0
1,320311.2187,3768910.125,33.0
2,318544.6094,3769092.3437,8.0
3,316286.6094,3769413.6094,4.0
4,314279.2812,3769567.5625,4.0
5,312584.7344,3769529.625,1.0
6,310767.5,3769308.5625,11.0
7,309006.0469,3768673.6719,11.0
8,306958.9375,3768472.7187,11.0
9,304141.4687,3767448.6406,1.0
10,302198.1562,3767054.4375,1.0
11,300189.4375,3766137.8438,1.0
12,298462.8125,3765390.9062,1.0
13,296329.8594,3765017.2813,1.0
14,294372.7969,3764285.6406,1.0
15,292038.2656,3763365.2187,1.0
16,289050.2969,3762147.2187,1.0
