,Easting(m),Northing(m),Elevation(m)
0,383126.1875,3775443.0,121.0
1,382539.4062,3775116.5,144.0
2,381810.5,3774785.0,159.0
3,381263.4375,3774686.0,157.0
4,380716.375,3774587.0,155.0
5,380162.5625,3774501.0,150.0
6,379608.75,3774415.0,145.0
7,378618.4062,3774320.25,155.0
8,378468.0,3774290.0,147.0
9,378219.0,3774310.0,139.0
10,377924.0,3774350.0,137.0
11,377698.0,3774410.0,141.0
12,377392.0,3774450.0,141.0
13,377131.0,3774470.0,135.0
14,376689.0,3774480.0,128.0
15,376361.0,3774500.0,149.0
16,375908.0,3774500.0,151.0
17,375670.0,3774500.0,174.0
18,375522.0,3774500.0,184.0
19,375398.0,3774450.0,184.0
20,375160.0,3774340.0,192.0
21,374967.0,3774280.0,151.0
22,374741.0,3774220.0,164.0
23,374525.0,3774170.0,173.0
24,374333.0,3774080.0,193.0
25,374174.0,3773950.0,158.0
26,374095.0,3773810.0,158.0
27,374038.0,3773690.0,124.0
28,373880.0,3773540.0,126.0
29,373653.0,3773440.0,112.0
30,373527.0,3773380.0,112.0
31,373302.0,3773320.0,122.0
32,373120.0,3773230.0,137.0
33,372894.0,3773170.0,113.0
34,372656.0,3773130.0,125.0
35,372520.0,3773090.0,139.0
36,372327.0,3773070.0,140.0
37,372021.0,3772980.0,150.0
38,371818.0,3772930.0,117.0
39,371614.0,3772880.0,119.0
40,371512.0,3772770.0,119.0
41,371296.0,3772670.0,112.0
42,371104.0,3772600.0,116.0
43,370775.0,3772570.0,118.0
44,370526.0,3772490.0,120.0
45,370265.0,3772390.0,113.0
46,370050.0,3772330.0,116.0
47,369699.0,3772220.0,123.0
48,369472.0,3772160.0,128.0
49,369166.0,3772140.0,120.0
