,Easting(m),Northing(m),Elevation(m)
0,413153.9219,3778923.75,248.3125
1,412639.5938,3778752.3125,250.75
2,412156.4375,3778643.2031,253.1875
3,411673.2734,3778440.5938,255.625
4,411143.3594,3778425.0156,258.0625
5,410551.1016,3778534.1094,260.5
6,409927.6719,3778783.4844,262.9375
7,409428.9297,3778939.3438,265.375
8,409086.0391,3779391.3281,267.8125
9,408665.2266,3779734.2188,270.25
10,408259.9922,3779905.6563,258.5
11,407745.6641,3780061.5156,228.4375
12,407364.7813,3780162.4688,217.0
13,406909.3437,3779964.75,202.0
14,406504.4063,3779739.5,179.0
15,405769.9687,3779426.75,176.0
16,405037.9687,3779242.75,171.0
17,404567.4531,3779006.4531,166.0
18,404072.125,3778618.2188,161.0
19,403701.9687,3778334.75,163.0
20,403286.7422,3778127.3594,168.0
21,402885.9688,3777994.75,166.0
22,402625.9687,3778046.75,168.0
23,402411.5078,3778017.7188,169.0
24,402201.7734,3777906.1563,169.0
25,401849.2422,3777732.125,167.0
26,401469.9375,3777535.7813,167.0
27,401157.9688,3777366.75,178.0
28,400742.5625,3777138.625,177.0
29,400141.9688,3776918.75,177.0
30,399821.9688,3776854.75,181.0
31,399464.9297,3776763.0469,178.0
32,399027.6172,3776553.3125,182.0
33,398496.5859,3776441.75,179.0
34,398033.9687,3776374.75,181.0
35,397737.9688,3776346.75,180.0
36,397358.6719,3776218.625,176.0
37,397009.9688,3776078.75,182.0
38,396745.9687,3776014.75,182.0
39,396421.9687,3775982.75,183.0
40,396213.9688,3775866.75,180.0
41,396069.9688,3775726.75,181.0
42,395838.5781,3775654.2813,182.0
43,395476.3984,3775659.5469,182.0
44,395020.4297,3775763.5313,194.0
45,394292.4687,3775795.5312,202.0
46,393741.9687,3775798.75,214.0
47,393241.9687,3775802.75,227.0
48,392765.9687,3775830.75,231.0
49,392501.9688,3775814.75,221.0
50,391821.9687,3775798.75,184.0
51,391285.9688,3775902.75,195.0
52,390556.6953,3775891.5312,197.0
53,389824.625,3775894.7187,189.0
54,389091.9766,3776003.8281,189.0
55,387720.2109,3776097.3594,182.0
56,386176.9766,3776081.7813,179.0
57,384742.8516,3775941.4844,167.0
58,383126.1875,3775443.0,121.0
