,Easting(m),Northing(m),Elevation(m)
0,358379.0312,3766422.8125,4.0
1,357597.0156,3766398.9531,4.0
2,356751.0313,3766325.4375,26.0
3,355495.5469,3766435.2344,26.0
4,354100.1875,3766527.8906,17.0
5,353015.3125,3766784.6875,17.0
6,351804.1094,3767139.5,4.0
7,350489.1094,3767452.5938,4.0
8,349268.0312,3767546.5156,6.0
9,347953.0313,3767640.4531,6.0
10,346625.4062,3767671.0625,33.0
11,345949.2031,3767703.0625,35.0
12,344803.0469,3767764.875,56.0
13,344058.1719,3767316.7031,31.0
14,342488.5781,3767208.8125,52.0
15,341323.7187,3767280.875,54.0
16,340062.9844,3767264.7344,39.0
17,339075.6875,3767219.6406,53.0
18,337871.3125,3767264.7344,101.0
19,336056.0,3767225.75,104.0
20,334919.0156,3767115.625,87.0
21,333993.625,3767275.5,121.0
22,332767.4219,3767732.9219,60.0
23,331242.0,3768401.375,358.0
24,330351.4688,3767924.7188,132.0
25,329044.0937,3767832.3906,95.0
26,327351.6719,3768136.3906,71.0
27,326469.3281,3768202.5781,101.0
28,324987.4531,3768289.7188,45.0
29,323203.0781,3768528.1875,31.0
30,322228.3437,3768800.875,33.0
31,321188.3594,3768659.4219,13.0
