,Easting(m),Northing(m),Elevation(m)
0,369724.1563,3770520.25,69.4287
1,369672.25,3770427.5,82.967
2,369563.1563,3770263.0,82.8895
3,369466.4687,3770134.0,77.8956
4,369430.5625,3770010.25,78.233
5,369350.4375,3769876.75,75.5492
6,369259.875,3769744.25,77.8922
7,369178.2188,3769615.5,75.568
8,369060.25,3769499.5,75.0303
9,368910.7813,3769359.5,74.5868
10,368738.1875,3769254.5,77.3526
11,368608.3437,3769156.0,76.353
12,368505.7812,3769072.75,73.1967
13,368393.4375,3768980.0,72.3948
14,368256.7812,3768878.5,74.9952
15,368129.9062,3768789.25,67.6574
16,368020.125,3768697.0,68.408
17,367906.5625,3768598.0,68.2602
18,367767.6875,3768532.25,64.8791
19,367653.3125,3768502.75,63.1152
20,367563.2188,3768507.0,65.6909
21,367476.1875,3768489.25,65.3518
22,367374.25,3768461.5,66.8481
23,367276.1875,3768415.5,67.2728
24,367170.625,3768370.75,69.4506
25,367040.875,3768332.0,68.7839
26,366881.4375,3768289.0,65.9643
27,366738.4375,3768270.0,66.0082
28,366638.0937,3768255.25,67.2628
29,366526.875,3768236.5,67.0803
30,366373.25,3768213.25,68.432
31,366216.1875,3768199.75,70.3618
32,366112.0938,3768170.5,72.2138
33,366007.4687,3768152.5,73.5963
34,365927.8437,3768111.75,74.2841
35,365845.1562,3768045.0,72.5378
36,365748.9688,3767961.0,69.4986
37,365611.3437,3767901.0,68.2428
38,365449.9687,3767853.75,65.3796
39,365319.125,3767775.25,70.6528
40,365165.9062,3767738.75,62.6978
41,364962.625,3767751.25,66.7781
42,364721.0313,3767767.25,72.2916
43,364575.1875,3767772.5,59.4583
