,Easting(m),Northing(m),Elevation(m)
0,289091.5469,3762130.0313,1.0
1,285928.0469,3761813.6875,7.0
2,281047.2187,3762175.2187,7.0
3,275443.2969,3762581.9688,7.0
4,271421.125,3762988.7031,6.0
5,267724.4063,3763129.125,1.0
6,263611.8437,3762903.1563,67.0
7,258821.4062,3763174.3125,5.0
8,253262.6875,3764168.5625,233.0
9,247116.4375,3765614.7344,148.0
10,241105.7812,3767377.25,426.0
11,234667.4375,3769143.0,56.0
12,229626.8125,3771173.4531,16.0
13,223821.1562,3774430.5625,13.0
14,220296.125,3776825.7813,8.0
