,Easting(m),Northing(m),Elevation(m)
0,365751.125,3794001.5,311.7928
1,364479.7187,3793862.0,307.87
2,363597.6562,3793804.0,300.161
3,362725.75,3793830.9844,304.9243
4,361729.3437,3793969.0,327.3193
5,360911.7187,3793971.9844,343.8446
6,360297.4687,3793987.7344,351.4141
7,359992.375,3794015.7344,360.6038
8,359723.1562,3794067.25,365.0
9,359493.0469,3794087.625,365.0
10,359351.9219,3794035.75,365.4794
11,359130.2187,3793894.25,367.2621
12,358939.6562,3793774.25,364.2724
13,358631.4688,3793702.25,364.097
14,358435.8125,3793679.75,366.455
15,357941.0,3793658.0,369.3379
16,357555.0312,3793656.0,363.5357
17,357263.625,3793647.25,364.7622
18,356960.9688,3793667.0,366.5785
