,Easting(m),Northing(m),Elevation(m)
0,379774.1094,3793620.1406,430.2676
1,379225.8906,3793373.7656,428.7241
2,378748.3438,3793194.0625,426.0
3,377912.875,3793212.0781,440.6052
4,377325.7187,3793270.5313,428.856
5,376740.875,3793516.25,462.9626
6,376168.5,3793674.25,459.7307
7,375520.6875,3793836.5313,429.6923
8,374832.3438,3793913.0156,432.5739
9,374290.1563,3794142.0,405.9151
10,373913.8438,3794346.9844,365.247
11,373501.5,3794417.8125,387.6776
12,372981.4062,3794586.0625,418.168
13,372140.0938,3794739.0469,442.529
14,371430.7812,3794910.25,437.1614
15,370606.125,3795070.5,414.6294
16,370136.1875,3795350.9219,362.3824
17,369876.1406,3795809.8281,366.9144
18,369432.5312,3796207.5313,381.7186
19,368835.9688,3796452.2969,383.9105
20,368132.2969,3796360.5156,365.0331
21,367367.4687,3796039.2969,358.2186
22,366541.4219,3795610.9844,347.7984
23,365853.0781,3795228.5312,337.1141
24,365394.1562,3794968.5,365.0
25,364935.2656,3794892.0156,365.0
26,364537.6562,3795072.2344,352.2566
27,364116.4688,3795068.0156,350.0
28,363447.1875,3794927.4688,356.6975
29,362753.6875,3794594.25,353.6684
