,Easting(m),Northing(m),Elevation(m)
0,386871.3594,3779135.375,241.0
1,385684.1719,3779852.4219,283.4375
2,384931.9531,3780920.125,329.0
3,383991.0156,3781510.7187,358.5
4,383050.0703,3782101.3125,388.0
5,382301.0625,3782845.4375,359.0
6,381552.0625,3783589.5469,330.0
7,380507.5156,3784203.4219,307.0
8,379425.2344,3784470.6719,292.0
9,378240.2969,3784865.6406,277.0
10,377084.0781,3785344.5625,289.0
11,375840.0156,3785898.6719,251.0
12,374655.0781,3786901.3125,260.375
13,373044.7656,3788177.4062,269.8125
14,371920.5937,3789180.0625,279.1875
15,370797.7656,3790509.75,288.625
16,369576.5312,3791911.1563,298.0
