,Easting(m),Northing(m),Elevation(m)
0,396264.0156,3785446.375,758.3157
1,395749.9844,3785654.1563,612.125
2,395126.6797,3786048.5781,621.6875
3,394500.9922,3786698.5156,627.0
4,393732.1953,3787245.5938,677.5625
5,393155.4062,3787662.6875,745.5625
6,392561.9609,3788332.4844,775.0
7,391997.3672,3788971.5156,670.0
8,391500.3047,3789502.1562,719.0
9,390967.9141,3789999.8594,626.0
10,390374.9453,3790572.7188,749.0
11,389796.2344,3791201.2187,914.0
12,389227.5937,3791825.5625,975.0
13,388718.1641,3792401.2187,802.5625
14,388128.4688,3793084.4219,658.875
15,387628.2187,3793549.6875,822.759
16,387067.8594,3794218.8125,592.8125
17,386360.0625,3794822.7031,548.0
18,385673.0469,3795370.0313,548.0
19,385061.4453,3795759.2813,548.0
20,384196.1094,3796239.6719,548.0
21,383395.375,3796727.5625,607.0
22,382491.4766,3797236.3594,626.3125
