,Easting(m),Northing(m),Elevation(m)
0,441925.875,3791492.0,1860.0
1,440635.6094,3790291.0,1725.5
2,439566.5,3789354.4219,1591.0
3,436995.7266,3788221.5312,1488.0
4,434080.1172,3788890.6094,1200.5
5,431879.7031,3789021.3281,916.25
6,429461.4297,3788825.25,843.75
7,427348.1641,3789021.3281,770.0625
8,425213.1094,3789413.4687,722.625
9,423056.2656,3789653.125,676.3125
10,421422.2969,3790176.0,630.0
11,419722.9687,3790393.8594,604.5
12,418197.9297,3790437.4219,579.0
13,415868.6875,3790624.75,705.5
14,413629.6875,3790065.0469,832.0
15,411058.9062,3789825.4062,867.0
16,408547.1563,3789786.9375,902.0
17,406642.1406,3789822.8906,908.0
18,404669.7187,3789920.0,914.0
19,402243.9531,3790350.75,1017.0
20,399818.1875,3790781.5,1120.0
21,397599.8594,3791436.125,1107.5
22,395381.5312,3792090.75,1095.0
23,393540.2266,3792649.1406,1004.0
24,391753.75,3793215.5938,915.4375
25,390359.4297,3793694.8906,826.1875
26,387886.0156,3794142.6875,734.6875
27,386340.4453,3795185.0469,713.1875
28,384548.2188,3796227.75,548.0
29,383321.1797,3796910.3438,694.5625
30,381811.5469,3797844.875,866.0
31,380267.5781,3798610.0781,880.0
32,378285.0313,3799241.875,940.0
33,376563.9219,3800026.1875,837.625
34,374973.5156,3800854.0625,731.0
35,372751.3125,3801899.7969,731.0
36,370956.5781,3802841.0313,731.0
37,368728.0781,3803955.2813,653.0
38,366859.0156,3804746.0469,613.3125
39,365169.6562,3805572.75,573.625
40,363480.3125,3806543.2187,534.0
41,360928.3125,3807873.1406,426.0
42,358699.8125,3809346.8125,397.5
43,356184.2344,3811716.7187,369.0625
