,Easting(m),Northing(m),Elevation(m)
0,445294.0078,3795592.6094,1742.5
1,444199.3906,3795385.25,1918.625
2,443351.2422,3795200.8125,2098.375
3,442295.1563,3795127.75,2394.0
4,441230.7031,3795095.1406,2673.75
5,439867.6719,3795110.5312,2422.0
6,438996.3594,3794926.4375,2389.875
7,438375.2812,3794680.8125,2417.125
8,437477.8984,3794085.4062,1968.0
9,436627.7578,3793399.0938,1696.75
10,435860.375,3792774.5,1610.25
11,435303.5,3792248.8906,1358.25
12,434776.6562,3791558.0,1229.5
13,434329.5938,3791313.2969,1185.5
14,433600.9141,3790905.5313,1304.0
15,432976.0234,3790484.4688,1281.125
16,432332.3906,3790180.3125,1256.0
17,431603.3516,3790001.5938,1188.125
18,430849.3594,3789786.5,914.375
19,430264.7734,3789453.4219,786.5
20,429722.9297,3788907.875,622.0602
