,Easting(m),Northing(m),Elevation(m)
0,446562.668,3788765.6563,1953.0
1,446300.4727,3788773.6406,2039.6859
2,445947.9492,3788737.375,2153.2222
3,445504.1484,3788657.3906,2294.0
4,445148.0859,3788700.9063,2281.0
5,444874.7617,3788789.6094,2252.2063
6,444572.2578,3788969.8125,2214.0
7,444270.7656,3789190.4062,2110.2334
8,443997.4062,3789352.9688,2003.5966
9,443767.5625,3789485.7656,1968.3262
10,443494.625,3789619.4219,1935.9487
11,443142.6328,3789702.5781,1858.0
12,442773.2578,3789678.7188,1802.0
13,442528.6562,3789595.5156,1789.1477
14,442276.5625,3789682.7656,1758.5861
15,441953.6016,3789793.6563,1649.0
16,441634.1719,3789877.2031,1593.6603
17,441384.4141,3789870.5469,1524.0
