,Easting(m),Northing(m),Elevation(m)
0,447154.9805,3793973.0938,1714.0
1,447033.2578,3794046.5313,1714.0
2,446714.1836,3794066.3125,1766.4034
3,446215.043,3793987.0625,1750.0
4,445695.9297,3793898.875,1844.0
5,445420.9258,3793772.25,1855.0
6,445088.6602,3793634.0312,2076.0
7,444859.2773,3793472.7969,2076.0
8,444502.3594,3793111.8906,2114.0
9,444177.9688,3792758.8437,2383.0
10,443659.6875,3792451.125,2374.0
11,443289.9375,3792279.2969,2050.0
12,442868.6406,3792085.4375,2050.0
13,442584.9297,3791897.2656,2026.0
14,442343.0469,3791625.3906,1865.0
15,441983.9766,3791467.7031,1860.0
16,441689.0234,3791049.2031,1911.0
17,441573.3594,3790823.9375,1811.0
18,441487.6562,3790405.2344,1811.0
19,441350.9375,3789987.875,1680.0
20,441196.6016,3789607.875,1626.0
21,440828.1094,3789042.625,1542.0
22,440540.1328,3788447.8906,1535.0
23,440178.1719,3787932.1563,1514.0
24,439798.3984,3787482.75,1385.0
25,439530.875,3787155.2813,1405.0
26,439330.2969,3786703.5,1339.0
27,439037.1797,3786144.3281,1301.0
28,438875.3516,3785795.0469,1301.0
29,438758.9297,3785369.7656,1242.0
30,438619.5938,3785041.625,1231.0
31,438288.3672,3784624.4531,1060.0
32,438033.0859,3784296.0781,954.0
33,437838.2422,3783976.2344,884.0
34,437776.5781,3783759.8438,884.0
35,437708.2734,3782984.2188,803.0
36,437608.1641,3782273.125,791.0
37,437539.9531,3781623.8125,791.0
38,437474.9844,3781044.1406,744.0
39,437364.875,3780455.2344,714.0
40,437267.4219,3780130.0469,669.0
41,437288.0391,3779631.8125,670.0
42,436989.0078,3778968.3594,611.0
43,436707.3516,3778422.6875,608.0
44,436292.0625,3777722.6563,556.0
