,Easting(m),Northing(m),Elevation(m)
0,437774.7891,3783844.1719,877.375
1,437592.7422,3783550.2344,857.0
2,437507.9297,3783358.3437,857.0
3,437420.9922,3783125.9375,1006.0
4,437311.4844,3782868.9531,956.0
5,437186.8438,3782580.4375,956.0
6,437052.8125,3782392.0469,992.0
7,436831.4453,3782167.4375,956.0
8,436611.875,3781890.0938,1083.0
9,436451.4219,3781822.4063,1193.0
10,436277.9219,3781716.3438,1074.0
11,436038.1094,3781585.4062,1048.0
12,435903.25,3781436.9219,1048.0
13,435849.8516,3781191.25,877.0
14,435672.5547,3780935.5469,908.0
15,435488.0703,3780799.6094,814.0
16,435202.9687,3780691.0781,809.0
17,435055.0,3780556.6875,872.0
18,434853.75,3780456.3437,866.0
19,434681.6328,3780357.5625,866.0
20,434570.625,3780225.2031,781.0
21,434482.8516,3780061.7813,781.0
22,434253.8359,3780111.5781,817.0
23,434017.5234,3780231.9063,841.0
24,433732.3906,3780279.3906,760.0
25,433514.2813,3780255.1563,841.0
26,433265.2969,3780205.8437,783.0
27,433106.875,3780242.4062,783.0
28,432833.5703,3780201.7656,773.0
29,432649.8672,3780274.8594,769.0
30,432526.0469,3780265.5469,769.0
31,432270.0625,3780250.5,752.0
32,431954.2109,3780229.2344,781.0
33,431748.3672,3780164.7031,820.0
34,431652.3438,3780226.5625,860.0
35,431469.6641,3780171.6094,860.0
36,431332.4766,3780202.0937,863.0
37,431108.6953,3780271.4844,813.0
38,430985.0859,3780224.3281,813.0
39,430786.4141,3780292.5625,900.0
40,430489.2891,3780286.9219,749.0
