,Easting(m),Northing(m),Elevation(m)
0,455319.1523,3787940.5156,856.0
1,454973.5859,3787967.8125,865.6667
2,454628.0234,3787995.1094,875.3333
3,454282.457,3788022.4062,885.0
4,453950.8789,3788038.8125,952.1143
5,453400.8906,3787882.3125,1061.9037
6,453016.8633,3787818.1563,1156.0
7,452736.082,3787801.5625,1167.5
8,452455.3008,3787784.9531,1179.0
9,452079.2109,3787755.3594,1179.5
10,451703.1211,3787725.7656,1180.0
11,451300.1563,3787557.1875,1260.6666
12,450854.8438,3787417.6719,1345.76
13,450494.2266,3787220.0469,1422.0
14,450131.9844,3786959.9375,1537.5
15,449769.7422,3786699.8437,1653.0
16,449373.7852,3786525.8594,1727.0
17,449128.3359,3786416.0625,1759.0
18,448882.8828,3786306.25,1791.0
19,448589.8594,3786202.1563,1754.0
20,448296.8359,3786098.0781,1717.0
21,447907.8398,3785969.0469,1790.0483
22,447518.8398,3785840.0156,1863.0966
23,447129.8437,3785710.9844,1936.1449
24,446763.0859,3785623.1094,2002.925
25,446396.332,3785535.2344,2069.7051
26,445948.918,3785695.9219,2055.8972
27,445677.5859,3785532.7812,2081.4668
28,445434.0937,3785499.7969,2068.0
29,444987.2656,3785641.7813,1934.7675
30,444507.0547,3785617.5156,1815.1542
31,444156.1562,3785559.3594,1694.3689
32,443729.1016,3785326.5781,1590.0
33,443441.1172,3785126.6562,1496.0024
34,443144.25,3784817.7344,1418.0
