,Easting(m),Northing(m),Elevation(m)
0,447514.5859,3790266.3594,1592.0
1,447242.7305,3789998.25,1705.278
2,447086.2305,3789726.3281,1806.6666
3,446872.0508,3789456.3125,1914.0
4,446776.0977,3789111.7656,1932.7938
5,446622.6094,3788850.8906,1953.0
6,446418.5117,3788569.9687,2007.0
7,446214.4141,3788289.0625,2061.0
8,445931.9375,3787930.9063,2159.5
9,445649.4609,3787572.7656,2258.0
10,445329.4336,3787398.8125,2220.0
11,445023.5391,3787228.6094,2163.0
12,444708.6172,3787031.7188,1994.0
13,444421.6172,3786841.5313,1986.1541
14,444219.7734,3786654.4531,1971.0699
15,444002.7344,3786341.1719,1923.0
16,443806.0625,3786016.0937,1815.0
17,443609.3906,3785691.0,1707.0
18,443425.2891,3785361.2656,1610.6666
19,443241.1797,3785031.5469,1514.3334
20,443057.0781,3784701.8125,1418.0
21,442810.6563,3784509.0156,1403.0
22,442607.5313,3784280.8594,1404.2443
23,442363.0937,3784149.5781,1404.3605
24,442106.7656,3783901.0313,1390.0
25,441841.5234,3783844.0625,1365.8478
26,441576.9453,3783753.1719,1343.0
27,441431.9844,3783613.6719,1321.337
28,441238.2031,3783536.6094,1303.0
29,440899.4609,3783320.0469,1263.0
30,440572.6094,3783050.5469,1237.1467
31,440293.8359,3782900.8437,1203.3964
32,440029.9609,3782737.625,1169.0
33,439769.625,3782575.5937,1123.0
34,439509.2813,3782413.5781,1077.0
35,439231.5234,3782245.0625,1028.0
36,438953.7656,3782076.5625,979.0
37,438552.9922,3781820.7969,923.0791
38,438164.3594,3781498.5937,865.5596
39,438151.2812,3781498.25,790.0
40,437747.6641,3781156.9219,758.344
41,437694.2031,3780935.2187,714.6237
42,437609.0391,3780617.7187,670.0
43,437482.6875,3780293.1562,666.5
44,437356.3438,3779968.6094,663.0
