,Easting(m),Northing(m),Elevation(m)
0,459498.8789,3782210.4063,611.0
1,457772.7383,3781234.7656,625.3125
2,455446.1914,3780671.8906,639.6875
3,453194.7031,3780746.9375,654.0
4,451001.5586,3781277.6094,696.5
5,448696.9883,3780989.5781,738.25
6,447363.6758,3781586.75,743.0
7,447003.3242,3780742.5,745.0
8,446725.3398,3780474.8125,747.0
9,444711.4531,3780449.0469,755.0
10,442115.3906,3780392.1406,713.0
11,439506.3906,3779022.25,636.5
12,437863.8281,3778202.6875,598.25
13,436568.4609,3777724.2188,560.0
14,434876.3125,3777035.6875,534.0
15,432530.6562,3776265.4688,467.0
