,Easting(m),Northing(m),Elevation(m)
0,420220.8984,3787957.1563,575.0
1,419804.3203,3787427.2656,793.375
2,419352.5391,3786987.1719,922.0
3,419010.6641,3786829.9063,904.0
4,418463.6797,3786660.3906,916.0
5,417793.2656,3786655.4219,937.5625
6,417318.125,3786449.0937,1136.0
7,416894.125,3786457.0625,1013.0
8,416267.9766,3786533.375,994.4216
9,415670.7656,3786462.75,848.0
10,415145.2734,3786441.75,853.3125
11,414710.3203,3786114.1406,964.0
12,414300.6484,3785965.8281,991.0
13,413735.4219,3785911.7031,911.125
14,413195.1016,3785675.875,820.0
15,412651.7812,3785283.1719,865.0
16,412392.2891,3784819.8125,849.0625
17,411987.2031,3784476.2344,952.0
18,411653.2813,3783951.2656,877.625
19,411382.3906,3783696.9531,790.1875
20,411030.1641,3783264.8125,653.1875
21,410676.7891,3782758.4688,642.75
22,410178.3516,3782511.5313,659.0
23,409777.8359,3782235.2656,494.9375
24,409360.2656,3782207.0937,478.25
25,408935.9609,3781974.5469,438.0625
26,408455.8984,3781783.0781,429.0625
27,407748.1016,3781559.1094,409.6875
28,407013.8438,3781528.1875,384.1875
