,Easting(m),Northing(m),Elevation(m)
0,407681.9844,3780959.3906,438.0
1,406640.9219,3780959.3906,435.75
2,405707.5547,3781031.1875,434.875
3,405061.375,3781282.4844,433.3125
4,404415.2031,3781138.8906,431.5625
5,403481.8281,3781318.375,429.625
6,402512.5625,3781785.0625,427.375
7,401545.0938,3781971.5,426.0
8,400694.2812,3782164.8594,467.375
9,400024.0625,3782492.1719,528.0625
10,399151.2266,3782351.8906,587.4375
11,398200.4609,3782990.9375,645.1875
12,397561.4141,3783536.4531,651.9375
13,396750.9219,3784128.7344,658.6875
14,396579.4766,3784674.2656,672.25
15,395363.7344,3785578.2656,631.3125
16,394833.7969,3785593.8594,573.5
17,394412.9688,3785095.0937,510.25
18,393883.0312,3785017.1563,447.125
19,393266.6953,3785209.3906,448.2857
20,392496.8125,3785123.6563,449.5625
21,391635.2422,3785015.9531,450.875
22,391024.9609,3785518.5313,452.1875
23,390235.1875,3786092.9219,453.4375
24,389624.9063,3786990.3906,454.5625
25,388368.4531,3787600.6562,456.0
26,387614.5781,3787923.75,462.0
27,386968.4062,3788569.9219,468.0
28,386250.4297,3788964.8125,474.0
29,385747.8438,3789431.5,480.0
30,385137.5625,3789718.6875,511.8125
31,384419.5938,3790185.375,543.625
32,383593.9219,3790400.7656,575.4375
33,382780.0781,3790631.3438,607.2
34,382167.25,3791305.25,639.0
35,381874.1953,3791943.4219,612.0
36,381581.1484,3792581.5781,585.0
37,381288.0938,3793219.75,558.0
38,380889.0313,3793705.25,522.5
39,380489.9687,3794190.75,487.0
