,Easting(m),Northing(m),Elevation(m)
0,411601.0703,3784230.2031,1006.0
1,411221.1172,3784005.2969,879.3125
2,410944.4922,3783512.0,716.5
3,410634.5625,3783264.9219,749.4375
4,410254.5156,3782952.3906,645.5
5,409872.5625,3782975.0,689.0
6,409400.7891,3782936.9531,632.0
7,409017.0,3782870.8281,522.0
8,408668.6484,3782563.1719,571.8125
9,408242.2266,3782331.6563,642.4375
10,407757.0234,3782203.875,584.1875
11,407245.6641,3781946.5625,419.25
12,406728.9609,3781861.8594,361.0
13,406325.0078,3782057.0781,351.25
14,405855.7109,3782035.6406,338.25
15,405333.3906,3781868.2812,349.9375
16,404940.4922,3782045.0625,465.75
17,404527.6406,3781906.3281,431.8125
18,403777.1406,3781960.4219,389.875
19,403398.9531,3782138.0625,548.8125
20,402792.6797,3782098.5469,542.0625
21,402164.875,3782244.7656,487.0
22,401692.625,3782514.7344,611.75
23,401148.0781,3782634.8906,589.0625
24,400729.6484,3782845.0938,539.25
25,400319.3984,3783005.9844,557.0625
26,399471.625,3783227.0781,511.75
27,398587.6641,3783363.625,643.1579
28,397768.0469,3783860.4375,682.1887
29,397532.8906,3784089.7969,503.25
30,397101.7344,3784449.4844,529.6875
31,396665.9688,3784894.7812,554.75
32,396441.6953,3785265.7031,627.9375
