,Easting(m),Northing(m),Elevation(m)
0,425023.375,3778414.2031,495.75
1,424654.6484,3778608.1094,499.4375
2,424315.1953,3778815.0781,542.0
3,423843.8359,3778900.6094,486.0
4,423686.8125,3779160.0313,519.0
5,423481.4844,3779385.6875,429.0
6,423105.9688,3779507.1875,332.0
7,422693.6797,3779360.5313,331.0
8,422252.4141,3779189.2969,320.0
9,421888.8594,3779407.9375,353.25
10,421346.4844,3779296.9844,319.0
11,420846.0547,3779205.9375,396.8272
12,420180.9453,3779111.0938,345.6875
13,419855.3828,3779158.625,396.8272
14,419509.4062,3779019.2031,293.1875
15,418996.7969,3778803.875,231.7145
16,418535.1172,3778777.6094,271.6875
17,418105.1875,3778732.9375,363.8035
18,417584.8281,3778877.125,338.3125
19,416898.5469,3778961.8281,287.0
20,416526.9062,3779079.6406,259.0
21,416131.1328,3779322.5937,226.6875
22,415764.2734,3779472.25,208.0
23,415232.2344,3779584.375,264.7364
24,414799.5625,3779475.9063,198.375
25,414368.8594,3779316.8125,195.0625
26,413980.5469,3779344.1875,213.5
27,413608.4922,3779192.8281,231.0625
28,413128.0234,3779028.5937,204.0
29,412830.3906,3779041.8125,202.4375
30,412174.1172,3779037.8906,223.0
31,411623.5781,3779154.3906,300.0
32,411161.0313,3779370.7813,226.0
33,410614.6016,3779605.3906,281.0
34,410174.0234,3779741.7656,248.3125
35,409819.2734,3779955.75,240.0
36,409453.2969,3780104.6875,297.7599
37,409117.8672,3780320.0469,309.8125
38,408688.4063,3780520.7969,267.0
39,408333.5234,3780647.7969,276.0
40,407868.2187,3780813.25,297.7599
41,407434.2187,3780867.9219,306.0
